Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:51:42.330 PM 02/18/2016,Autonomous Disabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,-6094.921875,5992.968750,-6000.000000,-6000.000000,Speed,Speed,-36.530000,1.080000,1.220000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.107681,-0.088104,0.000000,4.377380,46.143173,0.000000,0.051000,0.045000,-0.100000,FlatInitial,Hold,0,0.096875,-36.530000
07:51:42.430 PM 02/18/2016,Teleop Disabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-36.530000,1.080000,1.220000,0.000000,14116.000000,1,0,-0.000000,0.000000,1,0.107681,-0.088104,0.000000,4.377380,46.143173,0.000000,0.051000,0.045000,-0.100000,FlatInitial,ResetBack,0,0.096875,-36.530000
07:51:42.530 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.010000,1.060000,1.650000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,4.218521,46.498154,0.000000,0.000000,0.000000,-0.002000,FlatInitial,ResetBack,0,0.096875,-0.010000
07:51:42.630 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.010000,1.070000,1.640000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,4.218521,46.498154,0.000000,-0.001000,0.000000,0.000000,FlatInitial,ResetBack,0,0.096875,-0.010000
07:51:42.730 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.010000,1.060000,1.640000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,4.218521,46.498154,0.000000,0.000000,-0.004000,0.003000,FlatInitial,ResetBack,0,0.096875,-0.010000
07:51:42.832 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.010000,1.060000,1.640000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,4.218521,46.498154,0.000000,-0.001000,-0.001000,0.005000,FlatInitial,ResetBack,0,0.096875,-0.010000
07:51:42.932 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.010000,1.060000,1.640000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,4.218521,46.498154,0.000000,0.000000,0.000000,-0.001000,FlatInitial,ResetBack,0,0.096875,-0.010000
07:51:43.032 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.010000,1.060000,1.630000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,4.218521,46.498154,0.000000,-0.002000,0.000000,-0.002000,FlatInitial,ResetBack,0,0.096875,-0.010000
07:51:43.132 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.010000,1.060000,1.640000,0.000000,100.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,4.218521,46.498154,0.000000,0.000000,0.000000,0.006000,FlatInitial,ResetBack,0,0.096875,-0.010000
07:51:43.232 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.010000,1.060000,1.640000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,4.218521,46.498154,0.000000,0.000000,0.002000,0.007000,FlatInitial,ResetBack,0,0.096875,-0.010000
