Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:18:22.534 PM 02/18/2016,Autonomous Disabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,-5998.828125,6000.000000,-6000.000000,-6000.000000,Speed,Speed,24.530000,0.990000,0.200000,1.000000,104.000000,1,0,-0.000000,0.000000,1,-0.157944,2.652954,0.000000,36.389191,12.967300,0.000000,0.029000,0.022000,-0.116000,FlatInitial,Hold,0,0.000000
07:18:22.638 PM 02/18/2016,Teleop Disabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,24.580000,1.050000,2.050000,0.000000,15292.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,36.280731,16.321930,0.000000,-0.001000,-0.001000,0.001000,FlatInitial,ResetBack,0,0.000000
07:18:22.738 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.050000,2.050000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,36.280731,16.321930,0.000000,-0.001000,0.000000,0.006000,FlatInitial,ResetBack,0,0.000000
07:18:22.843 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.050000,2.050000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,36.280731,16.321930,0.000000,0.000000,0.002000,0.006000,FlatInitial,ResetBack,0,0.000000
07:18:22.943 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.040000,2.060000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,36.280731,16.321930,0.000000,-0.001000,-0.001000,0.002000,FlatInitial,ResetBack,0,0.000000
07:18:23.043 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.040000,2.060000,0.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,36.280731,16.321930,0.000000,0.000000,0.001000,0.007000,FlatInitial,ResetBack,0,0.000000
07:18:23.143 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.040000,2.070000,0.000000,104.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,36.280731,16.321930,0.000000,0.000000,-0.002000,0.010000,FlatInitial,ResetBack,0,0.000000
07:18:23.243 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.040000,2.070000,0.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,36.280731,16.321930,0.000000,0.000000,-0.001000,0.006000,FlatInitial,ResetBack,0,0.000000
07:18:23.345 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.040000,2.070000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,36.280731,16.321930,0.000000,0.000000,0.000000,0.006000,FlatInitial,ResetBack,0,0.000000
07:18:23.446 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.040000,2.060000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,36.280731,16.321930,0.000000,-0.001000,0.000000,0.010000,FlatInitial,ResetBack,0,0.000000
