Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:46:59.622 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6023.437500,6019.335938,-6000.000000,-6000.000000,Speed,Speed,-0.190000,0.900000,0.330000,1.000000,100.000000,1,0,-0.000000,0.000000,1,0.002365,-0.518250,0.000000,23.033844,15.735657,0.000000,0.023000,-0.088000,0.079000,FlatInitial,Hold,0,-0.828125,-0.190000
07:46:59.723 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6025.195312,6025.195312,-6000.000000,-6000.000000,Speed,Speed,-0.190000,0.810000,0.080000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.012787,-0.601257,0.000000,23.034180,15.712799,0.000000,0.016000,-0.058000,0.043000,FlatInitial,Hold,0,-0.828125,-0.190000
07:46:59.823 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6019.921875,6023.437500,-6000.000000,-6000.000000,Speed,Speed,-0.190000,0.690000,0.150000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.040710,-0.662292,0.000000,23.035751,15.674332,0.000000,0.048000,-0.005000,0.020000,FlatInitial,Hold,0,-0.828125,-0.190000
07:46:59.923 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6012.304688,6016.992188,-6000.000000,-6000.000000,Speed,Speed,-0.190000,0.610000,0.230000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.040710,-0.662292,0.000000,23.035751,15.674332,0.000000,0.048000,-0.005000,0.020000,FlatInitial,Hold,0,-0.828125,-0.190000
07:47:00.024 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6006.445312,6018.164062,-6000.000000,-6000.000000,Speed,Speed,-0.190000,0.570000,0.470000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.087158,-0.707520,0.000000,23.039932,15.632935,0.000000,0.022000,-0.027000,0.015000,FlatInitial,Hold,0,-0.828125,-0.190000
07:47:00.127 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6009.375000,6019.335938,-6000.000000,-6000.000000,Speed,Speed,-0.190000,0.540000,0.750000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.130569,-0.010925,0.000000,23.045624,15.625702,0.000000,0.045000,-0.031000,-0.005000,FlatInitial,Hold,0,-0.828125,-0.190000
07:47:00.227 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6010.546875,6017.578125,-6000.000000,-6000.000000,Speed,Speed,-0.190000,0.540000,0.750000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.186081,0.021255,0.000000,23.053680,15.625839,0.000000,0.053000,0.016000,0.006000,FlatInitial,Hold,0,-0.828125,-0.190000
07:47:00.328 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6009.375000,6013.476562,-6000.000000,-6000.000000,Speed,Speed,-0.190000,0.580000,1.170000,1.000000,106.000000,1,0,-0.000000,0.000000,1,0.242310,0.053802,0.000000,23.064667,15.627747,0.000000,0.072000,0.031000,-0.013000,FlatInitial,Hold,0,-0.828125,-0.190000
07:47:00.429 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6009.960938,6010.546875,-6000.000000,-6000.000000,Speed,Speed,-0.190000,0.640000,1.490000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.317719,0.081757,0.000000,23.078964,15.631454,0.000000,0.074000,0.075000,0.016000,FlatInitial,Hold,0,-0.828125,-0.190000
07:47:00.529 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6007.617188,6005.859375,-6000.000000,-6000.000000,Speed,Speed,-0.200000,0.720000,1.850000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.416229,0.174698,0.000000,23.101395,15.639465,0.000000,0.080000,0.037000,0.003000,FlatInitial,Hold,0,-0.828125,-0.200000
