Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:45:59.912 PM 02/18/2016,Autonomous Disabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,0.732422,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.440000,1.030000,1.700000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.018188,0.000000,0.000000,23.365036,15.516907,0.000000,0.002000,-0.003000,0.007000,FlatInitial,ResetBack,0,-0.828125,0.440000
07:46:00.013 PM 02/18/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,3.340000,1.010000,1.720000,0.000000,13155.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.391357,15.516434,0.000000,-0.008000,-0.010000,0.025000,FlatInitial,ResetBack,0,-0.828125,3.340000
07:46:00.113 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.060000,0.990000,1.560000,0.000000,108.000000,1,0,-0.000000,0.000000,1,0.004150,0.000000,0.000000,23.391403,15.516434,0.000000,0.025000,0.000000,-0.011000,FlatInitial,ResetBack,0,-0.828125,0.060000
07:46:00.216 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.010000,1.070000,1.600000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.015335,-0.010849,0.000000,23.391846,15.516281,0.000000,0.094000,-0.041000,0.286000,FlatInitial,ResetBack,0,-0.828125,-0.010000
07:46:00.317 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.439453,0.000000,0.000000,0.000000,Speed,Speed,-0.170000,1.070000,1.300000,0.000000,100.000000,1,0,-0.000000,0.000000,1,0.017761,0.032562,0.000000,23.392639,15.516815,0.000000,-0.009000,0.049000,-0.177000,FlatInitial,ResetBack,0,-0.828125,-0.170000
07:46:00.417 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.190000,1.010000,1.640000,0.000000,100.000000,1,0,-0.000000,0.000000,1,0.003784,0.008270,0.000000,23.393036,15.517944,0.000000,-0.009000,-0.079000,0.014000,FlatInitial,ResetBack,0,-0.828125,-0.190000
07:46:00.517 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.280000,1.050000,1.510000,0.000000,101.000000,1,0,-0.000000,0.000000,1,-0.000198,0.000000,0.000000,23.393173,15.517700,0.000000,-0.009000,0.034000,-0.303000,FlatInitial,ResetBack,0,-0.828125,-0.280000
07:46:00.618 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.200000,0.990000,1.590000,0.000000,104.000000,1,0,-0.000000,0.000000,1,-0.026016,0.015564,0.000000,23.392044,15.518082,0.000000,-0.023000,0.045000,-0.031000,FlatInitial,ResetBack,0,-0.828125,-0.200000
07:46:00.717 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.140000,0.990000,1.580000,0.000000,101.000000,1,0,-0.000000,0.000000,1,-0.030777,0.012115,0.000000,23.390503,15.518768,0.000000,-0.014000,0.028000,0.051000,FlatInitial,ResetBack,0,-0.828125,-0.140000
07:46:00.818 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.170000,1.030000,1.660000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389893,15.519440,0.000000,-0.034000,0.001000,-0.006000,FlatInitial,ResetBack,0,-0.828125,-0.170000
07:46:00.918 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.210000,1.010000,1.660000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389664,15.519440,0.000000,0.008000,0.003000,-0.004000,FlatInitial,ResetBack,0,-0.828125,-0.210000
07:46:01.018 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.220000,1.010000,1.610000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389664,15.519440,0.000000,-0.010000,-0.002000,-0.002000,FlatInitial,ResetBack,0,-0.828125,-0.220000
07:46:01.118 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.170000,1.010000,1.650000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,-0.009262,0.000000,23.389664,15.519241,0.000000,0.009000,-0.012000,0.004000,FlatInitial,ResetBack,0,-0.828125,-0.170000
07:46:01.218 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.180000,1.000000,1.640000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389664,15.519241,0.000000,0.010000,-0.005000,0.011000,FlatInitial,ResetBack,0,-0.828125,-0.180000
07:46:01.318 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.200000,1.010000,1.690000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389664,15.519241,0.000000,-0.002000,0.002000,0.005000,FlatInitial,ResetBack,0,-0.828125,-0.200000
07:46:01.418 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.190000,1.010000,1.710000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389664,15.519241,0.000000,-0.003000,0.000000,-0.002000,FlatInitial,ResetBack,0,-0.828125,-0.190000
07:46:01.518 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.210000,1.000000,1.720000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389664,15.519241,0.000000,0.000000,-0.005000,0.010000,FlatInitial,ResetBack,0,-0.828125,-0.210000
07:46:01.618 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.200000,1.010000,1.730000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389664,15.519241,0.000000,-0.001000,-0.004000,0.010000,FlatInitial,ResetBack,0,-0.828125,-0.200000
07:46:01.718 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.210000,1.010000,1.760000,0.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389664,15.519241,0.000000,-0.001000,-0.004000,0.010000,FlatInitial,ResetBack,0,-0.828125,-0.210000
07:46:01.818 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.220000,1.010000,1.790000,0.000000,100.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389664,15.519241,0.000000,0.006000,-0.004000,0.000000,FlatInitial,ResetBack,0,-0.828125,-0.220000
07:46:01.918 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.220000,1.020000,1.820000,0.000000,100.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389664,15.519241,0.000000,0.002000,0.011000,-0.001000,FlatInitial,ResetBack,1,-0.828125,-0.220000
07:46:02.018 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.230000,1.010000,1.830000,0.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389664,15.519241,0.000000,0.002000,0.011000,-0.001000,FlatInitial,ResetForward,1,-0.828125,-0.230000
07:46:02.118 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.250000,1.020000,1.920000,0.000000,100.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389664,15.519272,0.000000,-0.003000,0.014000,0.001000,FlatInitial,ResetForward,1,-0.828125,-0.250000
07:46:02.219 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.240000,1.020000,1.830000,0.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389664,15.519272,0.000000,0.001000,0.015000,-0.039000,FlatInitial,ResetForward,1,-0.828125,-0.240000
07:46:02.319 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.250000,1.020000,1.870000,0.000000,107.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389664,15.519272,0.000000,0.000000,-0.009000,0.002000,FlatInitial,ResetForward,0,-0.828125,-0.250000
07:46:02.419 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.270000,1.010000,1.800000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.389664,15.519272,0.000000,0.001000,0.000000,0.000000,FlatInitial,Reset,0,-0.828125,-0.270000
07:46:02.519 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.260000,1.010000,1.780000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.005127,0.000000,23.389664,15.519379,0.000000,0.005000,-0.002000,0.000000,FlatInitial,Hold,0,-0.828125,-0.260000
07:46:02.620 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.250000,1.020000,1.850000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,-0.016861,0.000000,23.389664,15.518845,0.000000,-0.004000,-0.003000,0.027000,FlatInitial,Hold,0,-0.828125,-0.250000
