Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:45:24.111 PM 02/18/2016,Teleop Enabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,-0.090000,1.020000,1.250000,1.000000,107.000000,1,0,-0.000000,0.000000,1,0.000000,0.010315,0.000000,23.693268,15.649612,0.000000,0.245000,0.010000,0.025000,FlatInitial,ResetBack,0,-0.828125,-0.090000
07:45:24.211 PM 02/18/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,-16.113281,76.464844,-6000.000000,-6000.000000,Speed,Speed,-0.120000,1.080000,1.240000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.048264,-0.039032,0.000000,23.695709,15.649170,0.000000,-0.010000,-0.091000,-0.166000,FlatInitial,ResetBack,0,-0.828125,-0.120000
07:45:24.311 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-47.607422,1105.664062,-6000.000000,-6000.000000,Speed,Speed,-0.200000,1.040000,1.310000,1.000000,104.000000,1,0,-0.000000,0.000000,1,0.048264,-0.039032,0.000000,23.695709,15.649170,0.000000,-0.010000,-0.091000,-0.166000,FlatInitial,ResetBack,0,-0.828125,-0.200000
07:45:24.411 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-170.507812,2144.384766,-6000.000000,-6000.000000,Speed,Speed,-0.240000,1.050000,1.380000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.042328,0.000000,23.699188,15.648926,0.000000,-0.014000,0.020000,0.037000,FlatInitial,ResetBack,0,-0.828125,-0.240000
07:45:24.511 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-398.583984,3176.513672,-6000.000000,-6000.000000,Speed,Speed,-0.290000,1.080000,1.740000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.066116,-0.016251,0.000000,23.694717,15.649292,0.000000,0.036000,0.024000,0.041000,FlatInitial,ResetBack,0,-0.828125,-0.290000
07:45:24.611 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-948.779297,3829.980469,-6000.000000,-6000.000000,Speed,Speed,-0.320000,1.000000,1.520000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.066116,-0.016251,0.000000,23.694717,15.649292,0.000000,0.036000,0.024000,0.041000,FlatInitial,ResetBack,0,-0.828125,-0.320000
07:45:24.712 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-1024.658203,3690.966797,-6000.000000,-6000.000000,Speed,Speed,-0.290000,1.030000,1.860000,1.000000,104.000000,1,0,-0.000000,0.000000,1,-0.092575,0.052048,0.000000,23.680923,15.652298,0.000000,0.167000,-0.237000,0.996000,FlatInitial,ResetBack,0,-0.828125,-0.290000
07:45:24.814 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-1480.224609,4219.921875,-6000.000000,-6000.000000,Speed,Speed,-0.290000,1.030000,1.860000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.092575,0.052048,0.000000,23.680923,15.652298,0.000000,0.167000,-0.237000,0.996000,FlatInitial,ResetBack,0,-0.828125,-0.290000
07:45:24.918 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-1392.041016,4167.919922,-6000.000000,-6000.000000,Speed,Speed,-0.340000,1.030000,1.400000,1.000000,107.000000,1,0,-0.000000,0.000000,1,-0.038986,-0.054047,0.000000,23.676788,15.648300,0.000000,0.039000,-0.001000,0.279000,FlatInitial,ResetBack,0,-0.828125,-0.340000
07:45:25.019 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-1462.060547,3788.378906,-6000.000000,-6000.000000,Speed,Speed,-0.350000,0.980000,1.440000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.088318,-0.063400,0.000000,23.671722,15.645187,0.000000,-0.030000,-0.068000,0.095000,FlatInitial,ResetBack,0,-0.828125,-0.350000
