Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:24:42.080 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5997.656250,5995.898438,-6000.000000,-6000.000000,Speed,Speed,-29.930000,1.530000,1.760000,1.000000,102.000000,1,1,0.000000,-0.000000,1,0.000000,0.026688,0.000000,21.744919,11.617920,0.000000,0.009000,0.029000,-0.027000,FlatInitial,Hold,0,-0.171875
07:24:42.181 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6000.585938,5998.828125,-6000.000000,-6000.000000,Speed,Speed,-29.920000,1.580000,1.820000,1.000000,103.000000,1,1,0.000000,-0.000000,1,0.016479,0.047150,0.000000,21.745270,11.620865,0.000000,0.009000,0.029000,-0.027000,FlatInitial,Hold,0,-0.171875
07:24:42.281 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6004.687500,6000.585938,-6000.000000,-6000.000000,Speed,Speed,-29.920000,1.600000,1.880000,1.000000,101.000000,1,1,0.000000,-0.000000,1,0.016479,0.047150,0.000000,21.745270,11.620865,0.000000,0.026000,-0.018000,-0.012000,FlatInitial,Hold,0,-0.168750
07:24:42.381 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6006.445312,6002.343750,-6000.000000,-6000.000000,Speed,Speed,-29.930000,1.540000,1.850000,1.000000,101.000000,1,1,0.000000,-0.000000,1,0.018921,0.059677,0.000000,21.746521,11.626450,0.000000,-0.018000,0.009000,-0.031000,FlatInitial,Hold,0,-0.171875
07:24:42.483 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6005.859375,6002.343750,-6000.000000,-6000.000000,Speed,Speed,-29.940000,1.380000,1.780000,1.000000,101.000000,1,1,0.000000,-0.000000,1,0.009979,0.084961,0.000000,21.746964,11.631531,0.000000,-0.018000,0.009000,-0.031000,FlatInitial,Hold,0,-0.171875
07:24:42.590 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6004.687500,6002.343750,-6000.000000,-6000.000000,Speed,Speed,-29.920000,1.390000,1.760000,1.000000,106.000000,1,1,0.000000,-0.000000,1,0.017456,0.080734,0.000000,21.747513,11.634705,0.000000,-0.005000,0.043000,-0.017000,FlatInitial,Hold,0,-0.171875
07:24:42.691 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6004.101562,6003.515625,-6000.000000,-6000.000000,Speed,Speed,-29.920000,1.320000,1.790000,1.000000,101.000000,1,1,0.000000,-0.000000,1,0.042816,0.075546,0.000000,21.748901,11.638107,0.000000,-0.003000,-0.044000,0.122000,FlatInitial,Hold,0,-0.171875
07:24:42.792 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6001.757812,6004.687500,-6000.000000,-6000.000000,Speed,Speed,-29.930000,1.260000,1.730000,1.000000,103.000000,1,1,0.000000,-0.000000,1,0.042816,0.075546,0.000000,21.748901,11.638107,0.000000,-0.003000,-0.044000,0.122000,FlatInitial,Hold,0,-0.171875
07:24:42.892 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5997.656250,6005.859375,-6000.000000,-6000.000000,Speed,Speed,-29.930000,1.260000,1.730000,1.000000,100.000000,1,0,0.000000,-0.000000,1,0.095596,0.083435,0.000000,21.757126,11.647552,0.000000,-0.003000,-0.044000,0.122000,FlatInitial,Hold,0,-0.171875
07:24:42.994 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5997.656250,6005.859375,-6000.000000,-6000.000000,Speed,Speed,-29.920000,1.350000,1.670000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.111542,0.105057,0.000000,21.760559,11.650604,0.000000,-0.135000,0.018000,0.094000,FlatInitial,Hold,0,-0.171875
07:24:43.094 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5995.312500,6004.101562,-6000.000000,-6000.000000,Speed,Speed,-29.910000,1.430000,1.610000,1.000000,103.000000,1,0,-0.000000,0.000000,1,0.129486,0.110168,0.000000,21.766479,11.655960,0.000000,0.117000,-0.033000,-0.027000,FlatInitial,Hold,0,-0.171875
