Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command,Shooter Amps Left,Shooter Amps Right
02:57:02.116 PM 04/09/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.000000,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.676102,-0.346634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019000,3.840000,0.350000,-6.370000,-0.035414,ResetBack,0.731934,-0.000049,ResetBack,-29744.000000,-0.250000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
02:57:02.216 PM 04/09/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.192500,-0.000000,-0.077000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.676208,-0.346710,0.000000,0.011856,-0.013474,0.000000,0.106000,-0.155000,-0.099000,3.860000,0.350000,-6.380000,-0.036732,ResetBack,-0.057373,-0.000049,ResetBack,-29744.000000,-0.250000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
02:57:02.317 PM 04/09/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-0.429916,-0.000000,-0.314416,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.678665,-0.347839,0.000000,0.085846,-0.029831,0.000000,0.069000,0.046000,-0.002000,3.870000,0.240000,-5.940000,-0.097056,ResetBack,-0.059326,-0.000049,ResetBack,-27347.000000,-0.250000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
02:57:02.417 PM 04/09/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,-0.712248,-0.000000,-1.020248,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.682999,-0.348724,0.000000,0.000000,-0.018707,0.000000,0.055000,0.032000,0.005000,3.880000,0.400000,-5.810000,0.059725,ResetBack,-0.059326,-0.000049,ResetBack,-22746.000000,-0.250000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
02:57:02.527 PM 04/09/2016,Teleop Enabled,15,FALSE,0,NO ERROR,-0.000000,-1.296164,-0.000000,-1.341080,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.684494,-0.349991,0.000000,0.040131,-0.043304,0.000000,-0.067000,-0.068000,0.035000,3.860000,0.390000,-5.770000,0.094371,Reset,-0.059326,0.000000,ResetBack,-17235.000000,-0.250000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
02:57:02.618 PM 04/09/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-1.918579,-0.000000,-1.989162,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.686401,-0.352051,0.000000,0.034882,0.000000,0.000000,-0.014000,0.023000,0.037000,3.900000,0.360000,-5.690000,0.016142,Hold,0.974121,0.000000,ResetBack,-11641.000000,-0.250000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
02:57:02.719 PM 04/09/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,-2.496077,-0.000000,-2.573077,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.685883,-0.352097,0.000000,-0.022018,-0.005875,0.000000,-0.036000,0.010000,0.036000,3.850000,0.380000,-5.770000,0.079027,Hold,0.973145,0.000000,ResetBack,-7923.000000,-0.250000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
02:57:02.821 PM 04/09/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-3.124909,-0.000000,-3.214742,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.684479,-0.352280,0.000000,-0.024612,0.000610,0.000000,0.004000,-0.002000,0.021000,3.900000,0.370000,-5.700000,0.074852,Hold,0.938477,0.000000,ResetBack,-7923.000000,-0.250000,LowGoal,0.000000,-2181.818182,Speed,0.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
02:57:02.921 PM 04/09/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-3.766575,-0.000000,-3.882074,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.684418,-0.352341,0.000000,0.000000,-0.005219,0.000000,0.022000,-0.036000,0.037000,3.850000,0.410000,-5.740000,0.113098,Hold,0.938477,0.000000,ResetBack,-6656.000000,-0.250000,LowGoal,45.000000,-2181.818182,Speed,15.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
02:57:03.021 PM 04/09/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-4.459573,-0.000000,-4.587906,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.684891,-0.353729,0.000000,0.022278,-0.040146,0.000000,0.022000,-0.036000,0.037000,3.850000,0.410000,-5.710000,0.126462,Hold,0.938477,0.000000,ResetBack,-6456.000000,-0.250000,LowGoal,540.000000,-2181.818182,Speed,367.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
02:57:03.121 PM 04/09/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,-5.152571,-0.000000,-5.312988,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.686386,-0.357819,0.000000,0.026062,-0.074066,0.000000,-0.030000,-0.053000,0.058000,3.850000,0.410000,-5.710000,0.146560,Hold,0.938477,0.000000,ResetBack,-6455.000000,-0.250000,LowGoal,1005.000000,-2181.818182,Speed,367.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
02:57:03.223 PM 04/09/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,-5.704403,-0.000000,-6.025236,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.686966,-0.360260,0.000000,0.001114,-0.056641,0.000000,-0.005000,-0.047000,0.048000,3.720000,0.690000,-5.570000,0.450121,Hold,0.938477,0.000000,ResetBack,-6455.000000,-0.250000,LowGoal,1582.500000,-2181.818182,Speed,997.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
02:57:03.326 PM 04/09/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-6.127902,-0.000000,-6.390985,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.685196,-0.363129,0.000000,-0.059540,-0.049042,0.000000,-0.117000,-0.013000,-0.098000,3.670000,0.640000,-5.510000,0.429576,Hold,0.938477,0.000000,ResetBack,-6451.000000,-0.250000,LowGoal,1897.500000,-2181.818182,Speed,1717.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
02:57:03.425 PM 04/09/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-6.320402,-0.000000,-6.570651,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.678970,-0.363373,0.000000,-0.132385,0.067276,0.000000,-0.076000,0.204000,-0.036000,3.600000,0.620000,-5.470000,0.365696,Hold,0.938477,0.000000,Reset,27.000000,2.000000,LowGoal,2137.500000,-2181.818182,Speed,1980.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
02:57:03.525 PM 04/09/2016,Teleop Enabled,12,FALSE,0,NO ERROR,-0.000000,-6.358902,-0.000000,-6.621985,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.670654,-0.357605,0.000000,-0.161011,0.104431,0.000000,0.074000,-0.161000,0.029000,3.600000,0.620000,-5.470000,0.409300,Hold,0.938477,0.000000,Hold,27.000000,2.000000,LowGoal,2167.500000,-2181.818182,Speed,2137.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
02:57:03.626 PM 04/09/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-6.358902,-0.000000,-6.621985,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.833747,38.866253,TRUE,13.664337,-0.356995,0.000000,-0.110352,-0.054581,0.000000,-0.025000,-0.268000,0.064000,3.700000,0.640000,-5.490000,0.398359,Hold,0.938477,0.000000,Hold,27.000000,2.000000,LowGoal,2115.000000,-2181.818182,Speed,2115.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_43.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 200 5000 10,DRIVE_STRAIGHT_NAVX_RAMPARTS,0.000000,0.000000
