Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command
08:33:41.460 PM 03/22/2016,Autonomous Disabled,14091,FALSE,0,NO ERROR,-0.000000,0.032083,0.000000,0.102666,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.870300,-20.243103,0.000000,-0.027924,0.000000,0.000000,0.002000,0.003000,0.005000,-0.020000,0.760000,1.490000,-0.032453,ResetBack,1.756592,-0.000049,ResetBack,-47431.000000,-0.300000,Empty,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:41.561 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.002000,0.000000,0.004000,0.000000,0.140000,1.510000,0.000537,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Empty,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:41.663 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.003000,0.000000,0.140000,1.510000,0.007673,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Suck,0.000000,2181.818182,Speed,0.000000,2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:41.763 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.001000,0.000000,0.003000,0.000000,0.140000,1.510000,0.008679,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Suck,0.000000,2181.818182,Speed,0.000000,2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:41.863 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.005000,-0.010000,0.140000,1.510000,0.005425,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Suck,0.000000,2181.818182,Speed,0.000000,2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:41.963 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.140000,1.510000,0.004716,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Suck,0.000000,2181.818182,Speed,0.000000,2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:42.063 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,-0.020000,0.140000,1.510000,0.006290,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Suck,0.000000,2181.818182,Speed,0.000000,2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:42.164 PM 03/22/2016,Autonomous Disabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.002000,-0.001000,0.004000,-0.020000,0.140000,1.510000,0.005477,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Suck,0.000000,2181.818182,Speed,0.000000,2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:42.265 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.002000,-0.020000,0.140000,1.510000,0.021272,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Suck,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:42.366 PM 03/22/2016,Autonomous Disabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,-0.001000,0.002000,0.006000,-0.030000,0.140000,1.510000,0.031131,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Suck,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:42.467 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.004000,-0.030000,0.140000,1.510000,0.029778,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Suck,0.000000,2181.818182,Speed,0.000000,2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:42.567 PM 03/22/2016,Autonomous Disabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,-0.002000,0.000000,0.001000,-0.030000,0.140000,1.510000,0.010975,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Suck,0.000000,2181.818182,Speed,0.000000,2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:42.667 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.040000,0.140000,1.510000,0.004431,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Suck,0.000000,2181.818182,Speed,0.000000,2181.818182,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:42.767 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.001000,0.002000,0.001000,-0.040000,0.140000,1.510000,0.002988,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:42.867 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.040000,0.130000,1.510000,-0.001308,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:42.968 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008000,-0.040000,0.130000,1.510000,-0.002609,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:43.068 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,-0.050000,0.130000,1.510000,-0.001856,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:43.168 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,-0.001000,0.001000,0.003000,-0.050000,0.130000,1.510000,-0.003732,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:43.268 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.003000,-0.060000,0.130000,1.510000,0.003360,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:43.368 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.004000,-0.060000,0.130000,1.510000,-0.005116,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:43.470 PM 03/22/2016,Autonomous Disabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002000,0.001000,-0.070000,0.130000,1.510000,0.007629,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,10,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:43.572 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,-0.070000,0.130000,1.510000,0.004968,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,10,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:33:43.673 PM 03/22/2016,Autonomous Disabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.873077,-20.242966,0.000000,0.000000,0.000000,0.000000,0.003000,0.000000,-0.001000,-0.070000,0.130000,1.510000,0.006789,ResetBack,1.756592,-0.000049,ResetBack,-29712.000000,-0.300000,Hold,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,10,Read: /home/lvuser/scripts/auto_44.bee,File good!,STOP_ALL,STOP_ALL
08:34:10.168 PM 03/22/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,-0.301583,0.000000,0.141166,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.876404,-20.242538,0.000000,0.000000,0.000000,0.000000,-0.001000,0.000000,0.000000,0.410000,0.080000,1.530000,0.367765,ResetBack,0.836182,-0.000049,ResetBack,-29712.000000,-0.300000,LowGoal,0.000000,-1454.545455,Speed,0.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:34:10.268 PM 03/22/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,-0.301583,0.000000,0.141166,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.876404,-20.242661,0.000000,0.000000,-0.004272,0.000000,0.007000,0.001000,0.019000,0.420000,0.050000,1.490000,0.366006,ResetBack,0.281982,-0.000049,ResetBack,-20749.000000,-0.300000,LowGoal,97.500000,-1454.545455,Speed,52.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:34:10.368 PM 03/22/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,-0.301583,0.000000,0.141166,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.876740,-20.242905,0.000000,-0.008377,-0.002426,0.000000,-0.002000,0.000000,-0.001000,0.410000,0.050000,1.560000,0.372805,ResetBack,0.279541,-0.000049,ResetBack,-10972.000000,-0.300000,LowGoal,652.500000,-1454.545455,Speed,765.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:34:10.469 PM 03/22/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,-0.301583,0.000000,0.141166,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.877075,-20.243546,0.000000,-0.013947,-0.020447,0.000000,0.038000,-0.046000,-0.006000,0.410000,0.050000,1.560000,0.376330,Reset,0.279541,-0.000049,ResetBack,-10972.000000,-0.300000,LowGoal,1477.500000,-1454.545455,Speed,765.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:34:10.570 PM 03/22/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,-0.301583,0.000000,0.141166,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.878464,-20.243729,0.000000,0.000000,0.000000,0.000000,0.008000,-0.016000,0.000000,0.410000,-0.010000,1.500000,0.363527,Hold,0.274170,0.000000,ResetBack,-4613.000000,-0.300000,LowGoal,1567.500000,-1454.545455,Speed,1582.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:34:10.671 PM 03/22/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,-0.301583,0.000000,0.141166,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.878860,-20.243088,0.000000,0.003586,0.025574,0.000000,-0.002000,0.016000,-0.046000,0.420000,-0.050000,1.460000,0.357424,Hold,0.038818,0.000000,ResetBack,-1166.000000,-0.300000,LowGoal,1567.500000,-1454.545455,Speed,1335.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:34:10.771 PM 03/22/2016,Autonomous Enabled,11,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,-0.301583,0.000000,0.141166,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.878891,-20.242004,0.000000,0.001266,0.017670,0.000000,0.020000,0.061000,0.000000,0.420000,-0.040000,1.530000,0.350390,Hold,0.038818,0.000000,ResetBack,-1166.000000,-0.300000,LowGoal,1320.000000,-1454.545455,Speed,1335.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:34:10.872 PM 03/22/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,-0.301583,0.000000,0.141166,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.878922,-20.240097,0.000000,0.002930,0.053772,0.000000,-0.021000,0.043000,0.008000,0.420000,-0.040000,1.510000,0.355706,Hold,0.038818,0.000000,ResetBack,-426.000000,-0.300000,LowGoal,1402.500000,-1454.545455,Speed,1335.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:34:10.973 PM 03/22/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,-0.301583,0.000000,0.141166,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.018750,0.896875,-6.836875,TRUE,-3.878922,-20.240097,0.000000,0.002930,0.053772,0.000000,0.023000,0.044000,-0.043000,0.420000,0.040000,1.580000,0.352349,Hold,0.038818,0.000000,ResetBack,-33.000000,-0.300000,LowGoal,1425.000000,-1454.545455,Speed,1440.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
