Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command
08:11:07.833 PM 03/22/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.001251,-0.000259,0.000000,0.000000,0.000000,0.000000,0.005000,-0.022000,-0.017000,0.000000,0.360000,1.330000,-0.008276,ResetBack,-0.157959,-0.000049,ResetBack,-160.000000,-0.300000,Empty,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,,,,
08:11:07.933 PM 03/22/2016,Teleop Enabled,6,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,-0.160416,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.001266,-0.000549,0.000000,0.000824,0.000000,0.000000,0.025000,0.010000,-0.041000,0.000000,0.300000,1.330000,-0.010517,ResetBack,-1.791504,-0.000049,ResetBack,5552.000000,-0.300000,Empty,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,,,,
08:11:08.033 PM 03/22/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,-0.160416,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.001373,-0.000717,0.000000,0.000000,-0.000854,0.000000,-0.023000,0.004000,0.033000,0.000000,0.310000,1.320000,-0.016035,ResetBack,-1.924072,-0.000049,ResetBack,18153.000000,-0.300000,Empty,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,,,,
08:11:08.134 PM 03/22/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,-0.160416,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.001312,-0.000717,0.000000,0.000000,0.000000,0.000000,0.016000,-0.002000,0.005000,0.000000,0.310000,1.330000,-0.004944,Reset,-1.924072,0.000000,ResetBack,26235.000000,-0.300000,Empty,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,,,,
08:11:08.234 PM 03/22/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,-0.160416,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.001312,-0.000717,0.000000,0.000000,0.000000,0.000000,-0.002000,0.024000,0.001000,0.000000,0.300000,1.330000,-0.008252,Hold,0.385254,0.000000,ResetBack,28906.000000,-0.300000,Empty,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,,,,
08:11:08.337 PM 03/22/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,-0.160416,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.001312,-0.000626,0.000000,0.000000,0.000000,0.000000,0.001000,-0.006000,0.000000,0.000000,0.320000,1.340000,-0.012689,Hold,0.385498,0.000000,ResetBack,29794.000000,-0.300000,Empty,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,,,,
08:11:08.438 PM 03/22/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,-0.160416,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.001312,-0.000626,0.000000,0.000000,0.000000,0.000000,-0.005000,0.002000,0.000000,0.000000,0.300000,1.340000,-0.006978,Hold,0.385498,0.000000,ResetBack,29794.000000,-0.300000,Empty,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,,,,
08:11:08.538 PM 03/22/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,-0.160416,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.001312,-0.000626,0.000000,0.000000,0.000000,0.000000,-0.003000,-0.004000,0.001000,0.000000,0.320000,1.350000,0.005563,Hold,0.385498,0.000000,ResetBack,30008.000000,-0.300000,Empty,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,On,0.000000,FALSE,0,,,,
08:11:08.638 PM 03/22/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,-0.160416,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.001266,-0.000580,0.000000,-0.000778,0.004196,0.000000,-0.213000,-0.035000,-0.037000,0.000000,0.330000,1.360000,0.010841,Hold,0.385498,0.000000,ResetBack,30008.000000,-0.300000,Suck,0.000000,2181.818182,Speed,0.000000,2181.818182,Speed,Off,On,0.000000,FALSE,0,,,,
08:11:08.739 PM 03/22/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,-0.160416,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.000366,-0.000854,0.000000,-0.036057,-0.030487,0.000000,-0.101000,-0.020000,0.183000,0.000000,0.240000,1.260000,0.022924,Hold,0.385498,0.000000,ResetBack,30008.000000,-0.300000,Suck,-60.000000,2181.818182,Speed,-97.500000,2181.818182,Speed,Off,On,0.000000,FALSE,0,,,,
