Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command
08:22:04.639 PM 03/24/2016,Teleop Enabled,9,TRUE,-44003,<LOCATION>WPI_CameraIssue HTTP Request with Authentication.vi<CALLSTACK>WPI_CameraIssue HTTP Request with Authentication.vi< <WPI_CameraIssue Get.vi< <WPI_CameraSet Image Appearance Property.vi< <WPI_CameraSet Image Size.vi< <Vision Processing.vi< <Robot Main.vi,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.073166,-0.032913,0.000000,0.000000,0.000000,0.000000,0.001000,0.002000,0.000000,-0.060000,0.120000,1.480000,22.222446,ResetBack,0.396240,-0.000049,ResetBack,14024.000000,-0.150000,LowGoal,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,,,,
08:22:04.741 PM 03/24/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,-0.141166,0.000000,-0.115500,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.073868,-0.032761,0.000000,0.023315,0.004181,0.000000,0.001000,-0.006000,0.000000,-0.060000,0.110000,1.470000,22.752658,ResetBack,-0.097656,-0.000049,ResetBack,14024.000000,-0.150000,LowGoal,0.000000,-1454.545455,Speed,0.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,0,,,,
08:22:04.841 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.141166,0.000000,-0.109083,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.073792,-0.032806,0.000000,-0.018799,0.007431,0.000000,-0.115000,-0.048000,-0.040000,0.000000,0.040000,1.410000,23.116451,ResetBack,-0.101807,-0.000049,ResetBack,15139.000000,-0.150000,LowGoal,22.500000,-1454.545455,Speed,112.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,0,,,,
08:22:04.941 PM 03/24/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,-0.141166,0.000000,-0.109083,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.074112,-0.032745,0.000000,0.006302,-0.008545,0.000000,-0.006000,-0.003000,-0.089000,-0.010000,-0.140000,1.390000,23.505687,ResetBack,-0.101807,-0.000049,ResetBack,16056.000000,-0.150000,LowGoal,525.000000,-1454.545455,Speed,750.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,0,,,,
08:22:05.042 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.141166,0.000000,-0.109083,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.074493,-0.034332,0.000000,0.000000,-0.046204,0.000000,0.001000,-0.040000,-0.085000,-0.010000,-0.100000,1.390000,23.897932,Reset,-0.101807,0.000000,ResetBack,16830.000000,-0.150000,LowGoal,1162.500000,-1454.545455,Speed,1252.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,0,,,,
08:22:05.143 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.141166,0.000000,-0.109083,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.075180,-0.037018,0.000000,0.028534,-0.059174,0.000000,0.001000,-0.012000,0.016000,-0.010000,-0.100000,1.330000,24.285247,Hold,0.411133,0.000000,ResetBack,18285.000000,-0.150000,LowGoal,1537.500000,-1454.545455,Speed,1567.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,0,,,,
08:22:05.242 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.141166,0.000000,-0.109083,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.075180,-0.037018,0.000000,0.028534,-0.059174,0.000000,0.062000,-0.050000,-0.002000,-0.010000,-0.010000,1.360000,24.652964,Hold,0.460449,0.000000,ResetBack,20430.000000,-0.150000,LowGoal,1507.500000,-1454.545455,Speed,1492.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,0,,,,
08:22:05.343 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.141166,0.000000,-0.109083,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.077759,-0.040588,0.000000,0.058990,0.000000,0.000000,0.018000,-0.039000,0.063000,-0.010000,0.050000,1.370000,25.034406,Hold,0.460449,0.000000,ResetBack,20430.000000,-0.150000,LowGoal,1417.500000,-1454.545455,Speed,1410.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,0,,,,
08:22:05.444 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.141166,0.000000,-0.109083,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.078293,-0.040588,0.000000,0.028534,0.005173,0.000000,-0.023000,0.017000,-0.005000,-0.020000,0.120000,1.340000,25.423436,Hold,0.460449,0.000000,ResetBack,22684.000000,-0.150000,LowGoal,1387.500000,-1454.545455,Speed,1402.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,0,,,,
08:22:05.545 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.141166,0.000000,-0.109083,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.079269,-0.039703,0.000000,-0.006653,0.024734,0.000000,-0.008000,0.044000,0.039000,-0.020000,0.070000,1.400000,25.423436,Hold,0.460449,0.000000,ResetBack,25076.000000,-0.150000,LowGoal,1402.500000,-1454.545455,Speed,1417.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,0,,,,
