Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AngeMotorState,Photoeye,VisionXOutput,gyro180,RollerArmDesired,RollerArmActual,ShooterArmDesired,ShooterArmActual, DefenseDetectorController,DefenseDetectorRaw,IsStalled,Auto0CurrentFile,Auto1FileStatus,Auto2CurrentCommand,Auto3TrimmedCommand
07:24:49.598 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.100000,0.370000,1.700000,Suck,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,-10.787598,-0.405014,0.000000,0.000000,0.002000,0.003000,FlatInitial,ResetBack,0,0.000000,-0.100000,-0.200000,4634.000000,-0.300000,-17394.000000,0,0,1,,,,
07:24:49.699 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-2.050781,-7.470703,4000.000000,4000.000000,Speed,Speed,-0.100000,0.380000,1.700000,Suck,103.000000,1,0,0.000000,0.000000,0,0.000000,0.003128,0.000000,-10.787598,-0.404984,0.000000,0.015000,0.036000,-0.015000,FlatInitial,ResetBack,0,0.000000,-0.100000,-0.200000,4634.000000,-0.300000,-12126.000000,0,0,1,,,,
07:24:49.800 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-15.966797,-23.583984,4000.000000,4000.000000,Speed,Speed,-0.100000,0.350000,1.700000,Hold,105.000000,1,0,0.000000,0.000000,0,-0.005463,0.001633,0.000000,-10.787704,-0.404724,0.000000,-0.052000,-0.022000,0.032000,FlatInitial,ResetBack,0,0.000000,-0.100000,-0.200000,1485.000000,-0.300000,-12126.000000,0,0,1,,,,
07:24:49.901 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-29.296875,-23.583984,4000.000000,4000.000000,Speed,Speed,-0.100000,0.310000,1.680000,Hold,105.000000,1,0,0.000000,0.000000,0,0.001648,-0.017578,0.000000,-10.788086,-0.404922,0.000000,0.001000,-0.054000,0.045000,FlatInitial,ResetBack,0,0.000000,-0.100000,-0.200000,-408.000000,-0.300000,-5431.000000,0,0,1,,,,
07:24:50.001 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-29.296875,-36.621094,4000.000000,4000.000000,Speed,Speed,-0.100000,0.280000,1.700000,Hold,104.000000,1,0,0.000000,0.000000,0,0.047913,-0.091324,0.000000,-10.786880,-0.407806,0.000000,-0.033000,-0.185000,-0.051000,FlatInitial,ResetBack,0,0.000000,-0.100000,-0.200000,-1952.000000,-0.300000,-5431.000000,0,0,1,,,,
07:24:50.102 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-39.697266,-46.728516,4000.000000,4000.000000,Speed,Speed,-0.100000,0.280000,1.710000,Hold,101.000000,1,0,0.000000,0.000000,0,0.035934,-0.140823,0.000000,-10.784500,-0.414490,0.000000,0.018000,0.017000,0.044000,FlatInitial,ResetBack,0,0.000000,-0.100000,0.000000,-1952.000000,-0.300000,-2827.000000,0,0,1,,,,
07:24:50.203 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-48.046875,-54.638672,4000.000000,4000.000000,Speed,Speed,-0.100000,0.350000,1.750000,Hold,101.000000,1,0,0.000000,0.000000,0,0.059433,-0.125732,0.000000,-10.781693,-0.421234,0.000000,0.061000,-0.208000,0.145000,FlatInitial,ResetBack,0,0.000000,-0.100000,0.000000,-2286.000000,-0.300000,-1559.000000,0,0,0,,,,
07:24:50.303 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-54.638672,-59.912109,0.000000,0.000000,Speed,Speed,0.000000,0.310000,1.640000,Hold,103.000000,1,0,0.000000,0.000000,0,0.037888,-0.145721,0.000000,-10.779175,-0.428146,0.000000,0.132000,0.101000,-0.322000,FlatInitial,ResetBack,0,0.000000,0.000000,0.000000,1658.000000,-0.300000,-510.000000,0,0,0,,,,
07:24:50.404 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-58.300781,-64.160156,0.000000,0.000000,Speed,Speed,-0.430000,5.220000,1.450000,Hold,102.000000,0,0,0.000000,0.000000,0,0.663528,-0.079529,0.000000,-10.757431,-0.433823,0.000000,0.475000,-0.182000,-0.155000,FlatInitial,ResetBack,0,0.000000,-0.430000,0.000000,1659.000000,-0.300000,-357.000000,0,0,0,,,,
07:24:50.504 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-55.517578,-60.791016,0.000000,0.000000,Speed,Speed,-0.690000,3.890000,1.430000,Hold,102.000000,0,0,0.000000,0.000000,0,0.999771,-0.097748,0.000000,-10.704315,-0.439804,0.000000,0.216000,-0.125000,-0.040000,FlatInitial,ResetBack,0,0.000000,-0.690000,0.000000,1701.000000,-0.300000,-1.000000,0,0,0,,,,
