Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command
01:10:55.737 PM 03/25/2016,Teleop Enabled,9,TRUE,-44003,<LOCATION>WPI_CameraIssue HTTP Request with Authentication.vi<CALLSTACK>WPI_CameraIssue HTTP Request with Authentication.vi< <WPI_CameraIssue Get.vi< <WPI_CameraSet Image Appearance Property.vi< <WPI_CameraSet Image Size.vi< <Vision Processing.vi< <Robot Main.vi,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.002289,-0.003754,0.000000,0.000000,0.008926,0.000000,0.006000,0.002000,0.001000,-0.280000,0.300000,-0.010000,-0.081024,ResetBack,-0.001221,-0.000049,ResetBack,111816.000000,-0.250000,Suck,0.000000,2400.000000,Speed,0.000000,2400.000000,Speed,Off,On,0.000000,FALSE,0,,,,
01:10:55.839 PM 03/25/2016,Teleop Enabled,8,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.002289,-0.003754,0.000000,0.000000,0.000000,0.000000,0.010000,0.009000,0.008000,-0.290000,0.290000,-0.040000,-0.081771,ResetBack,-1.156006,-0.000049,ResetBack,112019.000000,-0.250000,Suck,-30.000000,2400.000000,Speed,-22.500000,2400.000000,Speed,Off,On,0.000000,FALSE,0,,,,
01:10:55.939 PM 03/25/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.001694,-0.003326,0.000000,0.018448,0.012482,0.000000,-0.015000,0.057000,-0.096000,-0.280000,0.320000,-0.090000,-0.072745,ResetBack,-2.141846,-0.000049,ResetBack,114883.000000,-0.250000,Suck,-562.500000,2400.000000,Speed,-555.000000,2400.000000,Speed,Off,On,0.000000,FALSE,0,,,,
01:10:56.039 PM 03/25/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.001511,-0.002106,0.000000,-0.003448,0.019348,0.000000,-0.035000,-0.034000,0.069000,-0.280000,0.140000,-0.020000,-0.066028,ResetBack,-2.402832,-0.000049,ResetBack,119021.000000,-0.250000,Suck,-1125.000000,2400.000000,Speed,-1267.500000,2400.000000,Speed,Off,On,0.000000,FALSE,0,,,,
01:10:56.140 PM 03/25/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.002365,-0.001221,0.000000,-0.035919,0.030792,0.000000,0.033000,-0.073000,-0.071000,-0.300000,0.220000,-0.010000,-0.063560,Reset,-2.405273,0.000000,ResetBack,123361.000000,-0.250000,Suck,-1695.000000,2400.000000,Speed,-1762.500000,2400.000000,Speed,Off,On,0.000000,FALSE,0,,,,
01:10:56.240 PM 03/25/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.004013,0.000412,0.000000,-0.043671,0.067795,0.000000,-0.076000,0.209000,-0.021000,-0.300000,0.340000,0.050000,-0.061980,Hold,0.232666,0.000000,ResetBack,128658.000000,-0.250000,Suck,-2167.500000,2400.000000,Speed,-2272.500000,2400.000000,Speed,Off,On,0.000000,FALSE,0,,,,
01:10:56.341 PM 03/25/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.006943,0.008163,0.000000,-0.056580,0.148697,0.000000,0.005000,-0.074000,0.231000,-0.310000,0.300000,0.130000,-0.070049,Hold,0.232666,0.000000,ResetBack,128658.000000,-0.250000,Suck,-2475.000000,2400.000000,Speed,-2490.000000,2400.000000,Speed,Off,On,0.000000,FALSE,0,,,,
01:10:56.441 PM 03/25/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.008987,0.012695,0.000000,-0.046677,0.114288,0.000000,-0.089000,0.024000,0.108000,-0.310000,0.290000,0.180000,-0.068273,Hold,0.232666,0.000000,ResetBack,134911.000000,-0.250000,Suck,-2475.000000,2400.000000,Speed,-2362.500000,2400.000000,Speed,Off,On,0.000000,FALSE,0,,,,
01:10:56.543 PM 03/25/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.008377,0.016617,0.000000,0.039246,0.024307,0.000000,-0.013000,-0.013000,-0.065000,-0.330000,0.320000,0.110000,-0.102605,Hold,0.232666,0.000000,ResetBack,139240.000000,-0.250000,Suck,-2400.000000,2400.000000,Speed,-2265.000000,2400.000000,Speed,Off,On,0.000000,FALSE,0,,,,
01:10:56.645 PM 03/25/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.005814,0.020798,0.000000,0.013885,0.121719,0.000000,0.194000,0.035000,-0.090000,-0.340000,0.370000,0.190000,-0.108189,Hold,0.232666,0.000000,ResetBack,141704.000000,-0.250000,Suck,-2377.500000,2400.000000,Speed,-2347.500000,2400.000000,Speed,Off,On,0.000000,FALSE,0,,,,
01:10:56.745 PM 03/25/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.004272,0.027740,0.000000,0.032806,0.126297,0.000000,-0.098000,-0.067000,-0.068000,-0.350000,0.380000,0.140000,-0.117942,Hold,0.232666,0.000000,ResetBack,142590.000000,-0.250000,Suck,-2400.000000,2400.000000,Speed,-2400.000000,2400.000000,Speed,Off,On,0.000000,FALSE,0,,,,
01:10:56.845 PM 03/25/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,0.000000,0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.002274,0.035217,0.000000,0.047043,0.136719,0.000000,0.144000,0.092000,0.052000,-0.360000,0.450000,0.180000,-0.115543,Hold,0.232910,0.000000,ResetBack,143866.000000,-0.250000,Suck,-2415.000000,2400.000000,Speed,-2362.500000,2400.000000,Speed,Off,On,0.000000,FALSE,0,,,,
