Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command
07:26:39.190 PM 03/22/2016,Autonomous Enabled,10,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-11.713669,-0.759796,0.000000,0.000000,0.000000,0.000000,0.001000,0.000000,0.003000,-0.070000,0.830000,1.720000,-0.028463,ResetBack,0.533447,-0.000049,ResetBack,-17613.000000,-0.300000,LowGoal,0.000000,-1454.545455,Speed,0.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,2,,,,
07:26:39.290 PM 03/22/2016,Autonomous Enabled,11,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-11.714737,-0.759781,0.000000,-0.036804,-0.005219,0.000000,0.020000,0.000000,-0.061000,-0.070000,0.720000,1.720000,-0.020277,ResetBack,0.519775,-0.000049,ResetBack,-17613.000000,-0.300000,LowGoal,0.000000,-1454.545455,Speed,0.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,2,Read: /home/lvuser/scripts/auto_02.bee,File good!,WAIT 500,WAIT
07:26:39.390 PM 03/22/2016,Autonomous Enabled,10,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-11.715927,-0.760010,0.000000,-0.029037,-0.002670,0.000000,-0.004000,-0.029000,0.034000,-0.070000,0.780000,1.740000,-0.015953,ResetBack,0.079102,-0.000049,ResetBack,-15840.000000,-0.300000,LowGoal,465.000000,-1454.545455,Speed,450.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,2,Read: /home/lvuser/scripts/auto_02.bee,File good!,WAIT 500,WAIT
07:26:39.490 PM 03/22/2016,Autonomous Enabled,10,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-11.718185,-0.760178,0.000000,-0.052338,0.003540,0.000000,-0.019000,-0.022000,0.052000,-0.060000,0.580000,1.740000,-0.029527,ResetBack,0.019531,-0.000049,ResetBack,-7608.000000,-0.300000,LowGoal,1230.000000,-1454.545455,Speed,1267.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,2,Read: /home/lvuser/scripts/auto_02.bee,File good!,WAIT 500,WAIT
07:26:39.591 PM 03/22/2016,Autonomous Enabled,10,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-11.720169,-0.759872,0.000000,-0.029434,0.008316,0.000000,-0.012000,-0.070000,-0.005000,-0.070000,0.680000,1.740000,-0.023437,Reset,-0.014893,0.000000,ResetBack,-2362.000000,-0.300000,LowGoal,1560.000000,-1454.545455,Speed,1620.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,2,Read: /home/lvuser/scripts/auto_02.bee,File good!,WAIT 500,WAIT
07:26:39.691 PM 03/22/2016,Autonomous Enabled,10,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-11.720398,-0.759476,0.000000,0.006607,0.015594,0.000000,-0.039000,-0.010000,0.001000,-0.070000,0.630000,1.750000,-0.020766,Hold,0.404541,0.000000,ResetBack,23.000000,-0.300000,LowGoal,1455.000000,-1454.545455,Speed,1417.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,2,Read: /home/lvuser/scripts/auto_02.bee,File good!,WAIT 500,WAIT
07:26:39.791 PM 03/22/2016,Autonomous Enabled,10,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-11.719254,-0.759750,0.000000,0.040451,-0.008835,0.000000,-0.028000,0.035000,0.057000,-0.070000,0.840000,1.740000,-0.012321,Hold,0.406006,0.000000,ResetBack,218.000000,-0.300000,LowGoal,1305.000000,-1454.545455,Speed,1252.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,2,Read: /home/lvuser/scripts/auto_02.bee,File good!,NAVX_ZERO_YAW,NAVX_ZERO_YAW
07:26:39.892 PM 03/22/2016,Autonomous Enabled,10,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-11.718094,-0.759705,0.000000,0.009064,0.003967,0.000000,0.085000,0.011000,-0.116000,0.000000,0.680000,1.720000,0.006451,Hold,0.406006,0.000000,ResetBack,430.000000,-0.300000,LowGoal,1342.500000,-1454.545455,Speed,1365.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,2,Read: /home/lvuser/scripts/auto_02.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 1000 10000,DRIVE_STRAIGHT_NAVX_RAMPARTS
07:26:39.991 PM 03/22/2016,Autonomous Enabled,9,FALSE,0,NO ERROR,0.000000,-3.387992,0.000000,3.368742,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-11.716995,-0.759689,0.000000,0.021988,-0.004288,0.000000,-0.018000,0.016000,0.014000,0.000000,0.690000,1.710000,0.015760,Hold,0.406250,0.000000,ResetBack,430.000000,-0.300000,LowGoal,1395.000000,-1454.545455,Speed,1402.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,2,Read: /home/lvuser/scripts/auto_02.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 1000 10000,DRIVE_STRAIGHT_NAVX_RAMPARTS
07:26:40.091 PM 03/22/2016,Autonomous Enabled,10,FALSE,0,NO ERROR,0.000000,-7.834732,0.000000,7.744899,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-11.717560,-0.759689,0.000000,-0.022446,0.011307,0.000000,-0.010000,0.010000,-0.084000,0.010000,0.630000,1.730000,0.005708,Hold,0.406250,0.000000,ResetBack,430.000000,-0.300000,LowGoal,1357.500000,-1454.545455,Speed,1320.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,2,Read: /home/lvuser/scripts/auto_02.bee,File good!,DRIVE_STRAIGHT_NAVX_RAMPARTS 1000 10000,DRIVE_STRAIGHT_NAVX_RAMPARTS
