Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState
08:31:22.910 PM 02/15/2016,Autonomous Disabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,-0.140000,1.060000,1.820000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-4.425797,-0.823669,0.000000,0.002000,-0.001000,0.001000,FlatInitial
08:31:23.007 PM 02/15/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.010000,1.070000,1.940000,0.000000,14495.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-4.450531,-0.807709,0.000000,0.002000,-0.009000,-0.001000,FlatInitial
08:31:23.108 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.110000,1.100000,1.860000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.003006,0.000000,-4.450531,-0.807678,0.000000,0.000000,0.031000,0.011000,FlatInitial
08:31:23.208 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.270000,1.120000,1.550000,0.000000,101.000000,1,0,-0.000000,0.000000,1,-0.000732,0.033798,0.000000,-4.450500,-0.806717,0.000000,-0.010000,-0.048000,-0.111000,FlatInitial
08:31:23.309 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.430000,1.090000,1.810000,0.000000,101.000000,1,0,-0.000000,0.000000,1,-0.019577,-0.001785,0.000000,-4.451187,-0.806030,0.000000,-0.034000,-0.057000,0.250000,FlatInitial
08:31:23.409 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.420000,1.080000,1.840000,0.000000,102.000000,1,0,-0.000000,0.000000,1,-0.011444,-0.043655,0.000000,-4.452148,-0.807846,0.000000,-0.034000,-0.072000,0.182000,FlatInitial
08:31:23.509 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.260000,1.030000,2.090000,0.000000,100.000000,1,0,-0.000000,0.000000,1,-0.013077,-0.071518,0.000000,-4.452469,-0.809174,0.000000,0.131000,-0.026000,-0.036000,FlatInitial
08:31:23.608 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.400000,1.070000,1.970000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.001892,-0.022568,0.000000,-4.452057,-0.812439,0.000000,0.022000,0.030000,0.006000,FlatInitial
08:31:23.708 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.490000,1.090000,2.280000,0.000000,101.000000,1,0,-0.000000,0.000000,1,-0.002670,0.005295,0.000000,-4.451996,-0.812805,0.000000,-0.021000,0.042000,0.012000,FlatInitial
08:31:23.809 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.380000,1.080000,2.090000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-4.452133,-0.812012,0.000000,-0.005000,0.000000,-0.011000,FlatInitial
08:31:23.910 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.420000,1.090000,2.140000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,-0.019547,0.000000,-4.452133,-0.812485,0.000000,-0.012000,-0.025000,0.006000,FlatInitial
08:31:24.009 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.440000,1.100000,1.860000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,-0.039948,0.000000,-4.452133,-0.814087,0.000000,0.000000,-0.019000,-0.004000,FlatInitial
08:31:24.110 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.400000,1.090000,1.960000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-4.452133,-0.814529,0.000000,0.009000,-0.014000,0.009000,FlatInitial
08:31:24.210 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.320000,1.050000,1.690000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.028412,0.000000,-4.452133,-0.813782,0.000000,-0.002000,0.014000,-0.042000,FlatInitial
08:31:24.310 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.360000,1.080000,2.030000,0.000000,101.000000,1,0,-0.000000,0.000000,1,-0.005219,-0.024994,0.000000,-4.452209,-0.814270,0.000000,-0.016000,-0.013000,-0.087000,FlatInitial
