Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye
08:30:14.558 PM 02/17/2016,Teleop Enabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,-3.515625,0.000000,0.000000,0.000000,Speed,Speed,2.100000,1.040000,1.520000,0.000000,48903.000000,1,0,-0.000000,0.000000,1,0.000000,0.021729,0.000000,-4.328781,-8.014221,0.000000,-0.007000,-0.016000,-0.052000,FlatInitial,ResetBack,0
08:30:14.660 PM 02/17/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.010000,1.030000,1.850000,0.000000,104.000000,1,0,-0.000000,0.000000,1,0.000000,0.019196,0.000000,-4.328781,-8.013184,0.000000,-0.007000,-0.084000,0.132000,FlatInitial,ResetBack,0
08:30:14.760 PM 02/17/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.130000,1.050000,1.660000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.003693,0.000000,-4.328629,-8.013687,0.000000,-0.006000,0.024000,0.077000,FlatInitial,ResetBack,0
08:30:14.862 PM 02/17/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.220000,1.080000,1.770000,0.000000,103.000000,1,0,-0.000000,0.000000,1,-0.003647,0.042709,0.000000,-4.329117,-8.012238,0.000000,0.016000,0.006000,0.113000,FlatInitial,ResetBack,0
08:30:14.961 PM 02/17/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.280000,1.070000,1.850000,0.000000,107.000000,1,0,-0.000000,0.000000,1,-0.015991,-0.007141,0.000000,-4.329391,-8.011429,0.000000,-0.002000,-0.014000,0.069000,FlatInitial,ResetBack,0
08:30:15.062 PM 02/17/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.280000,1.080000,1.720000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.002869,0.000000,-4.329575,-8.011414,0.000000,-0.001000,-0.013000,0.059000,FlatInitial,ResetBack,0
08:30:15.163 PM 02/17/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.260000,1.050000,1.840000,0.000000,105.000000,1,0,-0.000000,0.000000,1,0.000000,-0.004120,0.000000,-4.329575,-8.011444,0.000000,-0.003000,-0.022000,0.089000,FlatInitial,ResetBack,0
08:30:15.264 PM 02/17/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.340000,1.060000,1.810000,0.000000,100.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-4.329575,-8.011612,0.000000,-0.008000,-0.012000,0.013000,FlatInitial,ResetBack,0
08:30:15.364 PM 02/17/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.300000,1.060000,1.840000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-4.329575,-8.011612,0.000000,0.000000,-0.011000,0.017000,FlatInitial,ResetBack,0
08:30:15.466 PM 02/17/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.320000,1.050000,1.860000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-4.329575,-8.011612,0.000000,0.015000,0.000000,0.001000,FlatInitial,ResetBack,1
08:30:15.566 PM 02/17/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.320000,1.050000,1.860000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-4.329575,-8.011612,0.000000,0.006000,0.002000,-0.003000,FlatInitial,ResetForward,1
08:30:15.667 PM 02/17/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.290000,1.050000,1.880000,0.000000,113.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-4.329575,-8.011612,0.000000,-0.003000,-0.011000,-0.023000,FlatInitial,ResetForward,1
