Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState
06:57:46.751 PM 02/15/2016,Teleop Enabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.010000,1.100000,1.420000,0.000000,102.000000,1,0,-0.000062,-0.003038,0,0.000000,0.000000,0.000000,-0.116730,0.233795,0.000000,0.000000,0.000000,0.010000,FlatInitial
06:57:46.851 PM 02/15/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.010000,1.100000,1.430000,0.000000,100.000000,1,0,-0.000062,-0.003038,0,0.003510,0.000000,0.000000,-0.116699,0.233795,0.000000,-0.024000,0.000000,0.022000,FlatInitial
06:57:46.952 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.070000,1.120000,1.470000,0.000000,101.000000,1,0,-0.000062,-0.003038,0,0.000000,0.028656,0.000000,-0.116699,0.234604,0.000000,0.009000,0.016000,-0.019000,FlatInitial
06:57:47.053 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.300000,1.120000,1.680000,0.000000,103.000000,1,0,-0.000062,-0.003038,0,0.002289,0.001297,0.000000,-0.116684,0.234512,0.000000,-0.007000,-0.032000,0.143000,FlatInitial
06:57:47.153 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.260000,1.080000,1.460000,0.000000,101.000000,1,0,-0.000062,-0.003038,0,0.000000,0.000000,0.000000,-0.116669,0.234329,0.000000,-0.004000,-0.013000,0.027000,FlatInitial
06:57:47.254 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.110000,1.080000,1.480000,0.000000,104.000000,1,0,-0.000062,-0.003038,0,0.000000,-0.022751,0.000000,-0.116669,0.233810,0.000000,-0.001000,-0.041000,-0.017000,FlatInitial
06:57:47.354 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.130000,1.110000,1.450000,0.000000,104.000000,1,0,-0.000062,-0.003038,0,0.007309,0.000000,0.000000,-0.116486,0.232788,0.000000,-0.010000,-0.008000,0.012000,FlatInitial
06:57:47.454 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.130000,1.080000,1.470000,0.000000,100.000000,1,0,-0.000062,-0.003038,0,0.000000,0.000000,0.000000,-0.116486,0.232788,0.000000,0.018000,0.012000,-0.002000,FlatInitial
06:57:47.554 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.190000,1.080000,1.610000,0.000000,101.000000,1,0,-0.000062,-0.003038,0,0.000000,0.000000,0.000000,-0.116486,0.232788,0.000000,0.000000,0.006000,0.009000,FlatInitial
06:57:47.654 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.210000,1.080000,1.620000,0.000000,102.000000,1,0,-0.000062,-0.003038,0,0.000000,0.000000,0.000000,-0.116486,0.232788,0.000000,0.004000,0.000000,0.026000,FlatInitial
06:57:47.755 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.190000,1.100000,1.620000,0.000000,102.000000,1,0,-0.000062,-0.003038,0,0.000000,0.000000,0.000000,-0.116486,0.232788,0.000000,0.003000,0.016000,0.016000,FlatInitial
06:57:47.855 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.170000,1.090000,1.570000,0.000000,101.000000,1,0,-0.000062,-0.003038,0,0.000000,0.000000,0.000000,-0.116486,0.232788,0.000000,0.005000,-0.015000,0.026000,FlatInitial
06:57:47.955 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.090000,1.090000,1.530000,0.000000,102.000000,1,0,-0.000062,-0.003038,0,0.000000,0.000000,0.000000,-0.116486,0.232788,0.000000,0.004000,-0.008000,0.016000,FlatInitial
06:57:48.056 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.160000,1.100000,1.520000,0.000000,101.000000,1,0,-0.000062,-0.003038,0,0.000000,0.000000,0.000000,-0.116486,0.232788,0.000000,0.000000,0.004000,0.007000,FlatInitial
06:57:48.156 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.190000,1.100000,1.550000,0.000000,102.000000,1,0,-0.000062,-0.003038,0,0.000000,0.000000,0.000000,-0.116486,0.232788,0.000000,-0.010000,0.014000,0.015000,FlatInitial
06:57:48.256 PM 02/15/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.180000,1.100000,1.540000,0.000000,102.000000,1,0,-0.000062,-0.003038,0,0.000000,-0.005569,0.000000,-0.116486,0.232864,0.000000,0.019000,0.004000,0.040000,FlatInitial
