Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye
08:41:46.259 PM 02/16/2016,Teleop Enabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.020000,1.090000,1.600000,0.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-62.879623,-56.443176,0.000000,0.000000,0.000000,0.010000,FlatInitial,ResetBack,0
08:41:46.360 PM 02/16/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.020000,1.090000,1.600000,0.000000,31174.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-62.879623,-56.443176,0.000000,0.000000,0.000000,0.010000,FlatInitial,ResetBack,0
08:41:46.461 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.010000,1.140000,1.470000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.002670,0.018326,0.000000,-62.879684,-56.449142,0.000000,-0.007000,0.018000,-0.012000,FlatInitial,ResetBack,0
08:41:46.561 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-143.847656,148.388672,-6000.000000,-6000.000000,Speed,Speed,-0.030000,1.160000,1.780000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.013000,-0.005569,0.000000,-62.879669,-56.448639,0.000000,0.053000,-0.044000,0.030000,FlatInitial,ResetBack,1
08:41:46.663 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-1642.822266,1515.527344,-6000.000000,-6000.000000,Speed,Speed,0.070000,1.090000,1.720000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.030075,-0.051834,0.000000,-62.878799,-56.450073,0.000000,0.018000,0.102000,-0.121000,FlatInitial,ResetForward,1
08:41:46.763 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-3283.593750,2732.958984,-6000.000000,-6000.000000,Speed,Speed,0.150000,1.160000,1.610000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.091644,-0.050171,0.000000,-62.875381,-56.452942,0.000000,0.054000,0.036000,-0.165000,FlatInitial,ResetForward,1
08:41:46.863 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-4603.271484,4058.496094,-6000.000000,-6000.000000,Speed,Speed,0.030000,1.120000,1.670000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.069366,-0.059814,0.000000,-62.871399,-56.455902,0.000000,0.024000,0.003000,-0.011000,FlatInitial,ResetForward,1
08:41:46.964 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5310.937500,5106.445312,-6000.000000,-6000.000000,Speed,Speed,-0.040000,1.200000,1.880000,1.000000,103.000000,1,0,-0.000000,0.000000,1,0.059967,-0.030029,0.000000,-62.867355,-56.458588,0.000000,-0.140000,0.036000,0.142000,FlatInitial,ResetForward,1
08:41:47.064 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5774.414062,5647.851562,-6000.000000,-6000.000000,Speed,Speed,0.020000,1.190000,1.730000,1.000000,103.000000,1,0,-0.000000,0.000000,1,-0.003418,-0.044022,0.000000,-62.866455,-56.460785,0.000000,-0.039000,0.020000,-0.100000,FlatInitial,ResetForward,1
08:41:47.164 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5947.851562,5804.296875,-6000.000000,-6000.000000,Speed,Speed,0.020000,1.180000,1.630000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.046692,-0.065109,0.000000,-62.867996,-56.463638,0.000000,-0.017000,-0.084000,-0.052000,FlatInitial,ResetForward,1
08:41:47.264 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6003.515625,5859.375000,-6000.000000,-6000.000000,Speed,Speed,-0.030000,1.170000,1.370000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.082703,0.019852,0.000000,-62.872086,-56.465866,0.000000,-0.044000,0.067000,-0.044000,FlatInitial,ResetForward,1
08:41:47.364 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6013.476562,5905.078125,-6000.000000,-6000.000000,Speed,Speed,0.000000,1.090000,1.320000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-62.873962,-56.464325,0.000000,-0.033000,0.015000,-0.012000,FlatInitial,ResetForward,0
