Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye
08:47:36.625 PM 02/17/2016,Autonomous Disabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,4005.029297,-4004.736328,4000.000000,4000.000000,Speed,Speed,9.450000,0.920000,1.280000,3.000000,102.000000,1,0,-0.000000,0.000000,1,-0.034653,0.000046,0.000000,1.272064,-19.137680,0.000000,-0.018000,0.050000,0.044000,FlatInitial,Hold,0
08:47:36.725 PM 02/17/2016,Teleop Disabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,9.450000,0.920000,1.280000,0.000000,31935.000000,1,0,-0.000000,0.000000,1,-0.034653,0.000046,0.000000,1.272064,-19.137680,0.000000,-0.018000,0.050000,0.044000,FlatInitial,ResetBack,0
08:47:36.825 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.000000,1.560000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,1.270813,-19.130676,0.000000,0.000000,-0.001000,0.001000,FlatInitial,ResetBack,0
08:47:36.925 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.000000,1.570000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,1.270813,-19.130676,0.000000,0.000000,0.000000,0.000000,FlatInitial,ResetBack,0
08:47:37.025 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.010000,1.570000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,1.270813,-19.130676,0.000000,0.001000,-0.003000,0.000000,FlatInitial,ResetBack,0
08:47:37.125 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.010000,1.570000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,1.270813,-19.130676,0.000000,-0.002000,0.000000,-0.001000,FlatInitial,ResetBack,0
08:47:37.225 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.000000,1.570000,0.000000,104.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,1.270813,-19.130676,0.000000,0.000000,0.001000,-0.002000,FlatInitial,ResetBack,0
08:47:37.326 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.000000,1.570000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,1.270813,-19.130676,0.000000,0.001000,0.002000,0.001000,FlatInitial,ResetBack,0
08:47:37.426 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.000000,1.570000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,1.270813,-19.130676,0.000000,0.004000,0.001000,0.002000,FlatInitial,ResetBack,0
08:47:37.526 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.000000,1.570000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,1.270813,-19.130676,0.000000,0.000000,0.000000,-0.001000,FlatInitial,ResetBack,0
