Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye
06:56:09.184 PM 02/16/2016,Teleop Enabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,-13.769531,6.738281,-6000.000000,-6000.000000,Speed,Speed,-0.090000,0.700000,1.820000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.011000,0.017000,0.029000,FlatInitial,ResetBack,0
06:56:09.285 PM 02/16/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,-985.546875,860.156250,-6000.000000,-6000.000000,Speed,Speed,-0.090000,0.730000,1.850000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.004456,0.000000,0.000000,0.000076,0.000000,0.000000,0.005000,0.007000,0.005000,FlatInitial,ResetBack,0
06:56:09.385 PM 02/16/2016,Teleop Enabled,0,TRUE,-44003,<LOCATION>WPI_CameraIssue HTTP Request with Authentication.vi<CALLSTACK>WPI_CameraIssue HTTP Request with Authentication.vi< <WPI_CameraIssue Get.vi< <WPI_CameraSet Image Appearance Property.vi< <WPI_CameraSet Image Size.vi< <Vision Processing.vi< <Robot Main.vi,-2389.599609,2286.621094,-6000.000000,-6000.000000,Speed,Speed,-0.090000,0.690000,1.840000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.018738,-0.014603,0.000000,0.000702,-0.000229,0.000000,0.006000,-0.066000,-0.004000,FlatInitial,ResetBack,0
06:56:09.485 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-3859.130859,3788.964844,-6000.000000,-6000.000000,Speed,Speed,-0.090000,0.690000,1.830000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.021515,-0.022614,0.000000,0.001572,-0.001144,0.000000,0.057000,0.009000,-0.182000,FlatInitial,ResetBack,1
06:56:09.585 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-4972.851562,4942.968750,-6000.000000,-6000.000000,Speed,Speed,-0.090000,0.690000,1.840000,1.000000,103.000000,1,0,-0.000000,0.000000,1,0.010620,-0.026306,0.000000,0.002167,-0.002151,0.000000,0.077000,0.001000,-0.112000,FlatInitial,ResetForward,1
06:56:09.685 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5591.601562,5574.023438,-6000.000000,-6000.000000,Speed,Speed,-0.110000,0.730000,1.840000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.038147,-0.012100,0.000000,0.003662,-0.002640,0.000000,-0.069000,0.007000,0.066000,FlatInitial,ResetForward,1
06:56:09.785 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5827.734375,5754.492188,-6000.000000,-6000.000000,Speed,Speed,-0.080000,0.700000,1.790000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.026657,-0.044662,0.000000,0.003540,-0.004089,0.000000,-0.041000,0.072000,0.127000,FlatInitial,ResetForward,1
06:56:09.885 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5892.187500,5800.781250,-6000.000000,-6000.000000,Speed,Speed,-0.060000,0.710000,1.810000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.106430,-0.012405,0.000000,0.000061,-0.005173,0.000000,-0.042000,0.041000,0.053000,FlatInitial,ResetForward,1
06:56:09.986 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5929.687500,5838.281250,-6000.000000,-6000.000000,Speed,Speed,-0.080000,0.750000,1.890000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.159821,0.016617,0.000000,-0.006927,-0.004913,0.000000,0.000000,0.027000,-0.031000,FlatInitial,ResetForward,1
06:56:10.086 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5953.710938,5889.843750,-6000.000000,-6000.000000,Speed,Speed,-0.070000,0.750000,1.940000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.201248,0.079285,0.000000,-0.015900,-0.002396,0.000000,-0.069000,0.053000,-0.022000,FlatInitial,ResetForward,0
