Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState
10:33:14.955 AM 02/13/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.290000,1.160000,2.950000,3.000000,102.000000,1,0,-0.007502,-0.008928,0,0.000000,0.000000,0.000000,-0.186478,0.058609,0.000000,-0.001000,0.000000,0.000000,FlatInitial
10:33:15.054 AM 02/13/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.290000,1.170000,2.970000,3.000000,102.000000,1,0,-0.007502,-0.008928,0,-0.003403,0.000000,0.000000,-0.186508,0.058609,0.000000,-0.038000,-0.012000,0.056000,FlatInitial
10:33:15.155 AM 02/13/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.370000,1.110000,3.050000,3.000000,102.000000,1,0,-0.007502,-0.008928,0,0.000000,0.000000,0.000000,-0.187042,0.058624,0.000000,0.001000,-0.002000,-0.057000,FlatInitial
10:33:15.254 AM 02/13/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.270000,1.090000,3.010000,3.000000,103.000000,1,0,-0.007502,-0.008928,0,0.003677,-0.007202,0.000000,-0.186920,0.058640,0.000000,0.013000,-0.015000,-0.013000,FlatInitial
10:33:15.355 AM 02/13/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.330000,1.100000,2.910000,3.000000,102.000000,1,0,-0.007502,-0.008928,0,0.000000,0.000000,0.000000,-0.186920,0.058640,0.000000,-0.005000,0.024000,-0.034000,FlatInitial
10:33:15.455 AM 02/13/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.290000,1.120000,2.980000,3.000000,103.000000,1,0,-0.007502,-0.008928,0,0.005127,0.000000,0.000000,-0.186783,0.058823,0.000000,-0.005000,0.001000,-0.013000,FlatInitial
10:33:15.555 AM 02/13/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.290000,1.100000,3.010000,3.000000,102.000000,1,0,-0.007502,-0.008928,0,0.000000,0.000000,0.000000,-0.186783,0.058823,0.000000,0.000000,0.001000,0.003000,FlatInitial
10:33:15.655 AM 02/13/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.310000,1.130000,2.990000,3.000000,101.000000,1,0,-0.007502,-0.008928,0,0.000000,0.000000,0.000000,-0.186783,0.058823,0.000000,0.005000,-0.001000,-0.007000,FlatInitial
10:33:15.755 AM 02/13/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.310000,1.120000,2.990000,3.000000,101.000000,1,0,-0.007502,-0.008928,0,0.000000,0.000000,0.000000,-0.186783,0.058823,0.000000,-0.004000,-0.007000,-0.007000,FlatInitial
10:33:15.855 AM 02/13/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.320000,1.140000,2.970000,3.000000,102.000000,1,0,-0.007502,-0.008928,0,0.000000,0.000000,0.000000,-0.186783,0.058823,0.000000,0.005000,-0.005000,0.007000,FlatInitial
