Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
06:58:39.790 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3990.673828,-3987.158203,4000.000000,4000.000000,Speed,Speed,-15.760000,1.290000,2.260000,3.000000,100.000000,1,1,0.000000,-0.000000,1,0.003159,0.006989,0.000000,0.010971,0.015686,0.000000,-0.036000,-0.028000,0.116000,FlatInitial,Hold,0,0.000000
06:58:39.890 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3991.259766,-3989.208984,4000.000000,4000.000000,Speed,Speed,-15.770000,1.270000,2.280000,3.000000,100.000000,1,1,0.000000,-0.000000,1,0.003876,0.013229,0.000000,0.011047,0.016266,0.000000,0.032000,-0.013000,-0.109000,FlatInitial,Hold,0,0.000000
06:58:39.990 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3992.871094,-3995.654297,4000.000000,4000.000000,Speed,Speed,-15.770000,1.290000,2.300000,3.000000,101.000000,1,1,0.000000,-0.000000,1,0.003693,0.015488,0.000000,0.011337,0.016815,0.000000,-0.007000,0.078000,-0.021000,FlatInitial,Hold,0,0.000000
06:58:40.090 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3998.144531,-3996.533203,4000.000000,4000.000000,Speed,Speed,-15.760000,1.310000,2.330000,3.000000,101.000000,1,1,0.000000,-0.000000,1,0.009384,0.019928,0.000000,0.011703,0.017822,0.000000,-0.020000,-0.023000,0.076000,FlatInitial,Hold,0,0.000000
06:58:40.191 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4003.125000,-3997.412109,4000.000000,4000.000000,Speed,Speed,-15.770000,1.300000,2.350000,3.000000,101.000000,1,1,0.000000,-0.000000,1,0.011185,0.031113,0.000000,0.012177,0.019180,0.000000,0.051000,-0.014000,-0.099000,FlatInitial,Hold,0,0.000000
06:58:40.291 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4008.251953,-3998.583984,4000.000000,4000.000000,Speed,Speed,-15.770000,1.320000,2.330000,3.000000,101.000000,1,1,0.000000,-0.000000,1,0.002594,0.036057,0.000000,0.012405,0.020798,0.000000,0.005000,0.069000,0.015000,FlatInitial,Hold,0,0.000000
06:58:40.391 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4010.302734,-4001.220703,4000.000000,4000.000000,Speed,Speed,-15.770000,1.330000,2.400000,3.000000,102.000000,1,1,0.000000,-0.000000,1,0.012726,0.003662,0.000000,0.012787,0.021378,0.000000,-0.001000,-0.045000,0.092000,FlatInitial,Hold,0,0.000000
06:58:40.492 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4005.761719,-4005.468750,4000.000000,4000.000000,Speed,Speed,-15.770000,1.320000,2.400000,3.000000,104.000000,1,1,0.000000,-0.000000,1,0.001144,0.004730,0.000000,0.012802,0.021530,0.000000,-0.019000,-0.040000,0.086000,FlatInitial,Hold,0,0.000000
06:58:40.592 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4003.125000,-4009.423828,4000.000000,4000.000000,Speed,Speed,-15.770000,1.300000,2.390000,3.000000,103.000000,1,1,0.000000,-0.000000,1,-0.000076,-0.001083,0.000000,0.012833,0.021561,0.000000,0.022000,0.067000,-0.021000,FlatInitial,Hold,0,0.000000
06:58:40.692 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4000.927734,-4007.226562,4000.000000,4000.000000,Speed,Speed,-15.770000,1.320000,2.410000,3.000000,102.000000,1,1,0.000000,-0.000000,1,-0.003784,0.005325,0.000000,0.012787,0.021759,0.000000,-0.020000,-0.020000,0.090000,FlatInitial,Hold,0,0.000000
