Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye
07:20:08.231 PM 02/16/2016,Autonomous Disabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,-0.110000,0.830000,0.600000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.101120,40.926712,0.000000,-0.025000,-0.012000,-0.057000,FlatInitial,Hold,0
07:20:08.331 PM 02/16/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.170000,0.820000,0.950000,0.000000,30634.000000,1,0,-0.000000,0.000000,1,-0.002335,0.001175,0.000000,-19.101105,40.927917,0.000000,-0.017000,0.024000,0.046000,FlatInitial,ResetBack,0
07:20:08.431 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.820000,0.920000,0.000000,104.000000,1,0,-0.000000,0.000000,1,-0.010574,0.003036,0.000000,-19.101364,40.928177,0.000000,-0.012000,-0.006000,0.008000,FlatInitial,ResetBack,0
07:20:08.531 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.830000,0.910000,0.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.101364,40.928192,0.000000,-0.004000,-0.009000,0.011000,FlatInitial,ResetBack,0
07:20:08.631 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.010000,0.820000,0.930000,0.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.101364,40.928040,0.000000,-0.009000,0.024000,-0.007000,FlatInitial,ResetBack,0
07:20:08.732 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.830000,0.950000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.009155,0.000000,0.000000,-19.101166,40.928238,0.000000,-0.005000,-0.002000,-0.001000,FlatInitial,ResetBack,0
07:20:08.833 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.790000,0.940000,0.000000,102.000000,1,0,-0.000000,0.000000,1,-0.006653,0.000000,0.000000,-19.101425,40.928238,0.000000,0.034000,0.012000,-0.021000,FlatInitial,ResetBack,0
07:20:08.934 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.820000,0.950000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.101654,40.928543,0.000000,0.007000,-0.004000,0.005000,FlatInitial,ResetBack,0
07:20:09.034 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.020000,0.830000,0.930000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.101532,40.928543,0.000000,0.003000,-0.009000,0.013000,FlatInitial,ResetBack,0
07:20:09.134 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.010000,0.830000,0.920000,0.000000,100.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.101532,40.928543,0.000000,0.006000,-0.001000,-0.001000,FlatInitial,ResetBack,0
