Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefeneState
08:20:37.715 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,0.020000,0.220000,2.520000,3.000000,101.000000,1,0,-0.013950,0.000248,0,0.000000,0.000000,0.000000,0.063431,0.236725,0.000000,0.003000,0.001000,0.001000,FlatInitial
08:20:37.816 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,0.020000,0.220000,2.510000,3.000000,102.000000,1,0,-0.013950,0.000248,0,0.000366,0.000000,0.000000,0.063431,0.236725,0.000000,0.005000,0.004000,-0.032000,FlatInitial
08:20:37.915 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,0.010000,0.240000,2.510000,3.000000,101.000000,1,0,-0.013950,0.000248,0,0.000000,0.000000,0.000000,0.063477,0.236725,0.000000,0.000000,0.003000,-0.021000,FlatInitial
08:20:38.017 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,0.010000,0.230000,2.510000,3.000000,103.000000,1,0,-0.013950,0.000248,0,0.000000,0.000000,0.000000,0.063477,0.236725,0.000000,-0.003000,-0.004000,0.010000,FlatInitial
08:20:38.117 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,0.010000,0.230000,2.500000,3.000000,104.000000,1,0,-0.013950,0.000248,0,0.000000,0.000000,0.000000,0.063477,0.236725,0.000000,0.001000,-0.003000,0.003000,FlatInitial
08:20:38.216 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,0.010000,0.230000,2.510000,3.000000,100.000000,1,0,-0.013950,0.000248,0,0.000000,0.000000,0.000000,0.063477,0.236725,0.000000,0.004000,0.000000,0.000000,FlatInitial
08:20:38.317 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,0.010000,0.230000,2.510000,3.000000,102.000000,1,0,-0.013950,0.000248,0,0.000000,0.000000,0.000000,0.063477,0.236725,0.000000,-0.003000,-0.001000,0.000000,FlatInitial
08:20:38.416 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,0.000000,0.230000,2.510000,3.000000,104.000000,1,0,-0.013950,0.000248,0,0.000000,0.000000,0.000000,0.063477,0.236725,0.000000,-0.002000,0.000000,0.000000,FlatInitial
08:20:38.517 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,0.000000,0.230000,2.510000,3.000000,101.000000,1,0,-0.013950,0.000248,0,0.000000,0.000000,0.000000,0.063477,0.236725,0.000000,-0.004000,0.001000,0.001000,FlatInitial
08:20:38.617 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,0.000000,0.220000,2.510000,3.000000,104.000000,1,0,-0.013950,0.000248,0,0.000000,0.000000,0.000000,0.063477,0.236725,0.000000,0.000000,-0.001000,0.003000,FlatInitial
