Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye
07:27:11.958 PM 02/17/2016,Autonomous Disabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,-6000.000000,5995.312500,-6000.000000,-6000.000000,Speed,Speed,1.920000,1.650000,-0.660000,1.000000,101.000000,1,0,-0.000000,0.000000,1,3.677887,-3.186646,0.000000,58.737564,63.459763,0.000000,0.058000,-0.124000,-0.192000,FlatInitial,Hold,0
07:27:12.059 PM 02/17/2016,Teleop Disabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,2.190000,0.920000,1.610000,0.000000,14194.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.001000,0.001000,-0.001000,FlatInitial,ResetBack,0
07:27:12.159 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.920000,1.610000,0.000000,111.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.001000,0.000000,-0.001000,FlatInitial,ResetBack,0
07:27:12.259 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.620000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,0.000000,0.000000,FlatInitial,ResetBack,0
07:27:12.359 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.920000,1.610000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,-0.001000,0.000000,-0.002000,FlatInitial,ResetBack,0
07:27:12.459 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.920000,1.620000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,-0.002000,0.002000,FlatInitial,ResetBack,0
07:27:12.559 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.920000,1.620000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,0.003000,0.005000,FlatInitial,ResetBack,0
07:27:12.660 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.620000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,0.000000,0.000000,FlatInitial,ResetBack,0
07:27:12.760 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.620000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,0.000000,0.004000,FlatInitial,ResetBack,0
07:27:12.860 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.620000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,-0.001000,0.002000,FlatInitial,ResetBack,0
07:27:12.960 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.620000,0.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,-0.002000,-0.001000,0.001000,FlatInitial,ResetBack,0
07:27:13.060 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.620000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.002000,0.001000,0.004000,FlatInitial,ResetBack,0
07:27:13.160 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.620000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.002000,0.000000,0.003000,FlatInitial,ResetBack,0
07:27:13.260 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.630000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.002000,0.000000,0.001000,FlatInitial,ResetBack,0
07:27:13.360 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.630000,0.000000,104.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,0.001000,0.001000,FlatInitial,ResetBack,0
07:27:13.460 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.630000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,-0.001000,0.003000,FlatInitial,ResetBack,0
07:27:13.560 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.630000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,0.000000,0.002000,FlatInitial,ResetBack,0
07:27:13.660 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.940000,1.630000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,-0.001000,0.001000,FlatInitial,ResetBack,0
07:27:13.760 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.630000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.002000,0.000000,0.005000,FlatInitial,ResetBack,0
07:27:13.860 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.940000,1.620000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,-0.002000,0.000000,0.006000,FlatInitial,ResetBack,0
07:27:13.961 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.630000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,0.001000,0.001000,FlatInitial,ResetBack,0
07:27:14.061 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.630000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,0.001000,0.001000,FlatInitial,ResetBack,0
07:27:14.161 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.630000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,0.001000,0.005000,FlatInitial,ResetBack,0
07:27:14.261 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.630000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,-0.001000,0.000000,0.000000,FlatInitial,ResetBack,0
07:27:14.362 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.920000,1.630000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,0.000000,0.006000,FlatInitial,ResetBack,0
07:27:14.463 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.920000,1.630000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.003000,-0.002000,0.003000,FlatInitial,ResetBack,0
07:27:14.564 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.920000,1.630000,0.000000,105.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,-0.001000,-0.002000,0.004000,FlatInitial,ResetBack,0
07:27:14.664 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.920000,1.630000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,0.000000,0.001000,FlatInitial,ResetBack,0
07:27:14.765 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.920000,1.630000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,-0.004000,0.000000,0.002000,FlatInitial,ResetBack,0
07:27:14.865 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.920000,1.630000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.003000,0.000000,0.006000,FlatInitial,ResetBack,0
07:27:14.967 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.920000,1.630000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,-0.001000,0.006000,FlatInitial,ResetBack,0
07:27:15.068 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.930000,1.620000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,-0.001000,0.000000,-0.002000,FlatInitial,ResetBack,0
07:27:15.168 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.920000,1.630000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,0.001000,0.001000,FlatInitial,ResetBack,0
07:27:15.268 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.920000,1.630000,1.000000,107.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,-0.003000,0.001000,0.006000,FlatInitial,ResetBack,0
07:27:15.368 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.000000,0.930000,1.630000,1.000000,105.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,0.000000,0.003000,FlatInitial,ResetBack,0
07:27:15.468 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.000000,0.930000,1.630000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,-0.001000,0.000000,0.003000,FlatInitial,ResetBack,0
07:27:15.568 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.000000,0.930000,1.630000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,-0.001000,0.000000,FlatInitial,ResetBack,0
07:27:15.669 PM 02/17/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.000000,0.930000,1.630000,1.000000,105.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,59.807648,61.873993,0.000000,0.000000,-0.004000,0.004000,FlatInitial,ResetBack,0
