Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState
04:19:27.986 PM 02/14/2016,Autonomous Disabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,7.320000,1.020000,2.100000,1.000000,101.000000,1,0,-0.000248,0.000062,0,0.000000,0.000000,0.000000,-131.060577,9.394424,0.000000,0.000000,-0.002000,0.003000,FlatInitial
04:19:51.991 PM 02/14/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,-79.248047,40.283203,-6000.000000,-6000.000000,Speed,Speed,-0.200000,1.030000,2.070000,1.000000,101.000000,1,0,-0.000248,0.000062,0,0.000000,0.000000,0.000000,-131.060577,9.394424,0.000000,0.001000,-0.002000,0.007000,FlatInitial
04:19:52.091 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-1120.019531,1320.996094,-6000.000000,-6000.000000,Speed,Speed,-0.200000,1.030000,2.110000,1.000000,102.000000,1,0,-0.000248,0.000062,0,-0.006760,0.013092,0.000000,-131.060730,9.394897,0.000000,-0.009000,0.021000,-0.076000,FlatInitial
04:19:52.191 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-3000.292969,1320.996094,-6000.000000,-6000.000000,Speed,Speed,-0.220000,1.020000,2.090000,1.000000,104.000000,1,0,-0.000248,0.000062,0,0.005432,0.002045,0.000000,-131.060669,9.395325,0.000000,0.050000,0.023000,-0.013000,FlatInitial
04:19:52.291 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-4541.748047,3248.583984,-6000.000000,-6000.000000,Speed,Speed,-0.220000,1.050000,1.970000,1.000000,101.000000,1,0,-0.000248,0.000062,0,0.023376,-0.004532,0.000000,-131.059784,9.395172,0.000000,0.042000,0.005000,-0.113000,FlatInitial
04:19:52.391 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5569.921875,4540.869141,-6000.000000,-6000.000000,Speed,Speed,-0.200000,1.060000,2.070000,1.000000,101.000000,1,0,-0.000248,0.000062,0,0.061050,-0.009155,0.000000,-131.057419,9.394806,0.000000,0.029000,-0.035000,-0.042000,FlatInitial
04:19:52.491 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5569.921875,5649.609375,-6000.000000,-6000.000000,Speed,Speed,-0.220000,1.080000,2.040000,1.000000,102.000000,1,0,-0.000248,0.000062,0,-0.040146,-0.032211,0.000000,-131.057510,9.393738,0.000000,-0.126000,-0.088000,0.153000,FlatInitial
04:19:52.592 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6000.585938,6069.140625,-6000.000000,-6000.000000,Speed,Speed,-0.220000,1.070000,2.280000,1.000000,103.000000,1,0,-0.000248,0.000062,0,-0.129379,-0.035141,0.000000,-131.062210,9.391739,0.000000,-0.053000,0.042000,-0.007000,FlatInitial
04:19:52.693 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6111.914062,6130.664062,-6000.000000,-6000.000000,Speed,Speed,-0.240000,1.090000,2.380000,1.000000,103.000000,1,0,-0.000248,0.000062,0,-0.184494,-0.056778,0.000000,-131.070572,9.389786,0.000000,-0.030000,-0.082000,0.052000,FlatInitial
04:19:52.793 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6118.945312,6096.093750,-6000.000000,-6000.000000,Speed,Speed,-0.260000,1.040000,2.180000,1.000000,102.000000,1,0,-0.000248,0.000062,0,0.001923,-0.090073,0.000000,-131.074326,9.385345,0.000000,0.014000,0.041000,0.017000,FlatInitial
04:19:52.894 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6100.781250,6060.351562,-6000.000000,-6000.000000,Speed,Speed,-0.260000,1.050000,2.370000,1.000000,101.000000,1,0,-0.000248,0.000062,0,0.066483,-0.032227,0.000000,-131.072235,9.382019,0.000000,0.059000,0.003000,0.036000,FlatInitial
04:19:52.995 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6069.140625,6036.328125,-6000.000000,-6000.000000,Speed,Speed,-0.260000,1.070000,2.380000,1.000000,102.000000,1,0,-0.000248,0.000062,0,0.127640,-0.006500,0.000000,-131.068192,9.381653,0.000000,0.073000,-0.010000,0.058000,FlatInitial
