Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState
02:58:20.861 PM 02/13/2016,Autonomous Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,17.420000,1.270000,2.710000,3.000000,105.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,0.314484,-0.646393,0.000000,0.000000,0.001000,0.008000,FlatInitial
02:58:20.961 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,17.410000,1.270000,2.710000,0.000000,14655.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,0.314484,-0.646393,0.000000,0.000000,0.000000,0.009000,FlatInitial
02:58:21.061 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,17.410000,1.270000,2.710000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,0.314484,-0.646393,0.000000,0.000000,0.000000,0.009000,FlatInitial
02:58:21.161 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,17.410000,1.270000,2.710000,0.000000,100.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,0.314484,-0.646393,0.000000,0.000000,0.000000,0.009000,FlatInitial
02:58:21.261 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,17.410000,1.270000,2.710000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,0.314484,-0.646393,0.000000,0.000000,0.000000,0.009000,FlatInitial
02:58:21.361 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,17.410000,1.270000,2.710000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,0.314484,-0.646393,0.000000,0.000000,0.000000,0.009000,FlatInitial
02:58:21.461 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,17.410000,1.270000,2.710000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,0.314484,-0.646393,0.000000,0.000000,0.000000,0.009000,FlatInitial
02:58:21.561 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,17.410000,1.270000,2.710000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,0.314484,-0.646393,0.000000,0.000000,0.000000,0.009000,FlatInitial
02:58:21.661 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,17.410000,1.270000,2.710000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,0.314484,-0.646393,0.000000,0.000000,0.000000,0.009000,FlatInitial
02:58:21.761 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,17.410000,1.270000,2.710000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,0.314484,-0.646393,0.000000,0.000000,0.000000,0.009000,FlatInitial
