Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:05:47.015 PM 02/18/2016,Teleop Enabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.020000,0.830000,1.830000,3.000000,102.000000,1,0,0.000000,0.000000,1,0.000000,0.000000,0.000000,0.518875,-0.451706,0.000000,0.002000,-0.001000,0.007000,FlatInitial,ResetBack,0,0.000000
07:05:47.117 PM 02/18/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,41.601562,-20.068359,4000.000000,4000.000000,Speed,Speed,-0.030000,0.820000,1.800000,3.000000,101.000000,1,0,-0.000000,0.000000,1,0.002823,-0.014435,0.000000,0.518875,-0.452057,0.000000,0.000000,0.000000,0.011000,FlatInitial,ResetBack,0,0.000000
07:05:47.219 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,1378.271484,-1151.513672,4000.000000,4000.000000,Speed,Speed,-0.050000,0.840000,1.760000,3.000000,101.000000,1,0,-0.000000,0.000000,1,0.002823,-0.014435,0.000000,0.518875,-0.452057,0.000000,-0.022000,0.003000,0.042000,FlatInitial,ResetBack,0,0.000000
07:05:47.322 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3195.849609,-2901.708984,4000.000000,4000.000000,Speed,Speed,-0.080000,0.850000,1.750000,3.000000,100.000000,1,0,-0.000000,0.000000,1,0.023392,-0.042526,0.000000,0.519958,-0.454971,0.000000,0.028000,-0.029000,0.072000,FlatInitial,ResetBack,1,0.000000
07:05:47.423 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3882.861328,-3764.941406,4000.000000,4000.000000,Speed,Speed,-0.040000,0.840000,1.780000,3.000000,100.000000,1,0,-0.000000,0.000000,1,0.008865,-0.046143,0.000000,0.520706,-0.457520,0.000000,0.005000,-0.022000,-0.003000,FlatInitial,ResetForward,1,0.000000
07:05:47.525 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3979.101562,-3841.552734,4000.000000,4000.000000,Speed,Speed,-0.080000,0.840000,1.800000,3.000000,102.000000,1,0,-0.000000,0.000000,1,0.021805,-0.068146,0.000000,0.521454,-0.460007,0.000000,-0.013000,0.036000,-0.021000,FlatInitial,ResetForward,1,0.000000
07:05:47.625 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3903.076172,-3751.611328,4000.000000,4000.000000,Speed,Speed,-0.130000,0.850000,1.820000,3.000000,102.000000,1,0,-0.000000,0.000000,1,0.012512,-0.049927,0.000000,0.522522,-0.463272,0.000000,-0.070000,-0.014000,0.077000,FlatInitial,ResetForward,1,0.000000
07:05:47.726 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3858.105469,-3753.369141,4000.000000,4000.000000,Speed,Speed,-0.120000,0.820000,1.830000,3.000000,102.000000,1,0,-0.000000,0.000000,1,0.008926,0.022888,0.000000,0.522842,-0.462875,0.000000,-0.070000,-0.014000,0.077000,FlatInitial,ResetForward,1,0.000000
07:05:47.826 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3883.886719,-3833.056641,4000.000000,4000.000000,Speed,Speed,-0.130000,0.830000,1.790000,3.000000,105.000000,1,0,-0.000000,0.000000,1,0.011078,0.010117,0.000000,0.523361,-0.462204,0.000000,-0.029000,-0.058000,0.157000,FlatInitial,ResetForward,1,0.000000
07:05:47.926 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3934.570312,-3911.718750,4000.000000,4000.000000,Speed,Speed,-0.130000,0.850000,1.900000,3.000000,101.000000,1,0,-0.000000,0.000000,1,0.020889,0.036484,0.000000,0.524445,-0.460587,0.000000,0.058000,0.040000,0.061000,FlatInitial,ResetForward,1,0.000000
07:05:48.027 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3974.707031,-3959.326172,4000.000000,4000.000000,Speed,Speed,-0.140000,0.860000,1.900000,3.000000,102.000000,1,0,-0.000000,0.000000,1,0.011734,-0.002762,0.000000,0.525223,-0.460220,0.000000,-0.009000,0.006000,-0.121000,FlatInitial,ResetForward,0,0.000000
07:05:48.127 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3991.699219,-3971.923828,4000.000000,4000.000000,Speed,Speed,-0.140000,0.850000,1.850000,3.000000,102.000000,1,0,-0.000000,0.000000,1,-0.005295,-0.007355,0.000000,0.525192,-0.460495,0.000000,0.001000,-0.008000,-0.101000,FlatInitial,Reset,0,0.000000
07:05:48.227 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3999.462891,-3963.281250,4000.000000,4000.000000,Speed,Speed,-0.140000,0.850000,1.850000,3.000000,103.000000,1,0,-0.000000,0.000000,1,-0.005295,-0.007355,0.000000,0.525192,-0.460495,0.000000,0.001000,-0.008000,-0.101000,FlatInitial,Hold,0,0.000000
07:05:48.329 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4002.978516,-3966.503906,4000.000000,4000.000000,Speed,Speed,-0.150000,0.840000,1.770000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.022766,-0.006699,0.000000,0.524277,-0.460571,0.000000,-0.015000,-0.053000,-0.049000,FlatInitial,Hold,0,0.000000
07:05:48.429 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4007.812500,-3985.546875,4000.000000,4000.000000,Speed,Speed,-0.140000,0.830000,1.820000,3.000000,100.000000,1,0,-0.000000,0.000000,1,-0.040024,0.005081,0.000000,0.522583,-0.460724,0.000000,-0.015000,0.026000,-0.035000,FlatInitial,Hold,0,0.000000
07:05:48.529 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4010.449219,-4000.195312,4000.000000,4000.000000,Speed,Speed,-0.150000,0.840000,1.920000,3.000000,102.000000,1,0,-0.000000,0.000000,1,-0.009048,0.039993,0.000000,0.522446,-0.459427,0.000000,-0.009000,0.053000,0.098000,FlatInitial,Hold,0,0.000000
07:05:48.629 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4011.767578,-3999.902344,4000.000000,4000.000000,Speed,Speed,-0.150000,0.850000,1.970000,3.000000,102.000000,1,0,-0.000000,0.000000,1,0.006210,0.006668,0.000000,0.522461,-0.458298,0.000000,0.004000,0.000000,-0.058000,FlatInitial,Hold,0,0.000000
07:05:48.730 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4008.691406,-3995.361328,4000.000000,4000.000000,Speed,Speed,-0.160000,0.870000,2.030000,3.000000,100.000000,1,0,-0.000000,0.000000,1,0.001938,0.000000,0.000000,0.522537,-0.457794,0.000000,-0.006000,-0.003000,-0.061000,FlatInitial,Hold,0,0.000000
07:05:48.832 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4007.080078,-3996.386719,4000.000000,4000.000000,Speed,Speed,-0.150000,0.900000,2.080000,3.000000,103.000000,1,0,-0.000000,0.000000,1,0.003571,0.004669,0.000000,0.522705,-0.457657,0.000000,0.036000,0.000000,0.083000,FlatInitial,Hold,0,0.000000
