Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye
07:15:56.244 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.860000,0.800000,0.000000,103.000000,1,0,-0.000000,0.000000,1,0.008591,0.000000,0.000000,-19.110733,40.985764,0.000000,-0.002000,-0.018000,0.012000,FlatInitial,Reset,0
07:15:56.344 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.010000,0.830000,0.890000,0.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.004196,0.000000,-19.110733,40.985809,0.000000,0.008000,0.003000,0.020000,FlatInitial,Hold,0
07:15:56.446 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.850000,0.790000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,-0.006378,0.000000,-19.110733,40.985886,0.000000,0.000000,-0.007000,-0.007000,FlatInitial,Hold,0
07:15:56.546 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.840000,0.850000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110733,40.985886,0.000000,0.003000,0.000000,0.009000,FlatInitial,Hold,0
07:15:56.646 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.292969,0.000000,0.000000,Speed,Speed,0.000000,0.830000,0.850000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110733,40.985886,0.000000,0.010000,0.002000,0.002000,FlatInitial,Hold,0
07:15:56.748 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.830000,0.840000,0.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110733,40.985886,0.000000,0.000000,-0.004000,-0.002000,FlatInitial,Hold,0
07:15:56.848 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.830000,0.860000,0.000000,100.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110733,40.985886,0.000000,-0.008000,0.006000,0.008000,FlatInitial,Hold,0
07:15:56.948 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.840000,0.870000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110733,40.985886,0.000000,0.003000,-0.003000,0.000000,FlatInitial,Hold,0
07:15:57.049 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.830000,0.880000,0.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110733,40.985886,0.000000,0.005000,0.000000,0.003000,FlatInitial,Hold,0
07:15:57.150 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.820000,0.870000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110733,40.985886,0.000000,0.002000,0.000000,0.000000,FlatInitial,Hold,0
07:15:57.250 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.830000,0.880000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110733,40.985886,0.000000,-0.001000,0.000000,0.002000,FlatInitial,Hold,0
07:15:57.351 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.840000,0.870000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110733,40.985886,0.000000,-0.001000,-0.002000,0.001000,FlatInitial,Hold,0
07:15:57.452 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.830000,0.880000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110733,40.985886,0.000000,0.004000,0.000000,0.004000,FlatInitial,Hold,0
07:15:57.552 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.830000,0.880000,0.000000,100.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110733,40.985886,0.000000,0.001000,0.003000,-0.001000,FlatInitial,Hold,0
07:15:57.652 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.830000,0.880000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110733,40.985886,0.000000,-0.001000,0.009000,0.003000,FlatInitial,Hold,0
07:15:57.753 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.830000,0.880000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110733,40.985886,0.000000,0.002000,-0.014000,0.000000,FlatInitial,Hold,0
07:15:57.853 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.820000,0.890000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110733,40.985886,0.000000,0.002000,0.009000,0.009000,FlatInitial,LowGoal,0
07:15:57.954 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.830000,0.860000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,-0.011810,0.000000,-19.110733,40.985718,0.000000,0.000000,-0.034000,-0.017000,FlatInitial,Hold,0
07:15:58.054 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.740000,0.960000,0.000000,100.000000,1,0,-0.000000,0.000000,1,0.000000,-0.035355,0.000000,-19.110733,40.984619,0.000000,-0.025000,0.025000,-0.011000,FlatInitial,Hold,0
07:15:58.156 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.060000,0.830000,0.840000,0.000000,103.000000,1,0,-0.000000,0.000000,1,0.004349,0.022339,0.000000,-19.110992,40.984100,0.000000,0.029000,0.042000,-0.059000,FlatInitial,Hold,0
07:15:58.256 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-0.146484,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.010000,0.820000,1.100000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.002365,0.000000,0.000000,-19.110458,40.985092,0.000000,-0.050000,0.012000,0.019000,FlatInitial,Hold,0
07:15:58.357 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,-0.439453,-6000.000000,-6000.000000,Speed,Speed,0.030000,0.910000,0.790000,1.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,-0.039032,0.000000,-19.110428,40.983871,0.000000,-0.004000,-0.038000,-0.021000,FlatInitial,Hold,0
07:15:58.458 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,-2.636719,-6000.000000,-6000.000000,Speed,Speed,0.050000,0.860000,0.740000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.012070,0.000000,-19.110641,40.983063,0.000000,0.013000,0.022000,-0.012000,FlatInitial,Hold,0
07:15:58.558 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,-15.820312,-6000.000000,-6000.000000,Speed,Speed,0.050000,0.840000,0.760000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000717,0.000000,0.000000,-19.110352,40.983383,0.000000,-0.019000,0.017000,-0.021000,FlatInitial,Hold,0
07:15:58.659 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,-10.107422,-6000.000000,-6000.000000,Speed,Speed,0.080000,0.870000,0.750000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.011856,0.000000,0.000000,-19.110123,40.983536,0.000000,0.007000,-0.013000,-0.008000,FlatInitial,Hold,0
07:15:58.759 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,-49.511719,-6000.000000,-6000.000000,Speed,Speed,0.000000,0.960000,0.370000,1.000000,103.000000,1,0,-0.000000,0.000000,1,0.004379,0.009583,0.000000,-19.110245,40.983734,0.000000,0.046000,0.008000,-0.161000,FlatInitial,Hold,0
07:15:58.859 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,13.769531,-6000.000000,-6000.000000,Speed,Speed,-0.020000,0.790000,0.670000,1.000000,104.000000,1,0,-0.000000,0.000000,1,-0.013794,-0.032532,0.000000,-19.110291,40.982849,0.000000,-0.040000,-0.014000,0.023000,FlatInitial,Hold,0
07:15:58.960 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.292969,-6000.000000,-6000.000000,Speed,Speed,0.060000,0.870000,0.710000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.002350,0.000000,0.000000,-19.111023,40.981842,0.000000,0.029000,0.007000,0.017000,FlatInitial,Hold,0
07:15:59.063 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.000000,0.810000,0.800000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.013733,0.000000,-19.111282,40.982101,0.000000,0.016000,0.023000,-0.018000,FlatInitial,Hold,0
07:15:59.163 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.010000,0.820000,0.860000,1.000000,100.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.111282,40.982513,0.000000,-0.019000,0.006000,-0.005000,FlatInitial,Hold,0
