Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState
12:13:04.014 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.100000,1.100000,2.860000,3.000000,102.000000,1,0,-0.005022,-0.003968,0,0.000000,0.000000,0.000000,-0.437210,0.735291,0.000000,0.001000,0.001000,0.000000,FlatInitial
12:13:04.114 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.170000,1.110000,2.860000,0.000000,14765.000000,1,0,-0.005022,-0.003968,0,0.000000,0.000000,0.000000,-0.437210,0.735291,0.000000,0.001000,-0.001000,-0.001000,FlatInitial
12:13:04.214 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.170000,1.110000,2.860000,0.000000,101.000000,1,0,-0.005022,-0.003968,0,0.000000,0.000000,0.000000,-0.437210,0.735291,0.000000,0.001000,-0.001000,-0.001000,FlatInitial
12:13:04.314 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.170000,1.110000,2.860000,0.000000,101.000000,1,0,-0.005022,-0.003968,0,0.000000,0.000000,0.000000,-0.437210,0.735291,0.000000,0.001000,-0.001000,-0.001000,FlatInitial
12:13:04.415 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.170000,1.110000,2.860000,0.000000,102.000000,1,0,-0.005022,-0.003968,0,0.000000,0.000000,0.000000,-0.437210,0.735291,0.000000,0.001000,-0.001000,-0.001000,FlatInitial
12:13:04.515 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.170000,1.110000,2.860000,0.000000,101.000000,1,0,-0.005022,-0.003968,0,0.000000,0.000000,0.000000,-0.437210,0.735291,0.000000,0.001000,-0.001000,-0.001000,FlatInitial
12:13:04.616 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.170000,1.110000,2.860000,0.000000,101.000000,1,0,-0.005022,-0.003968,0,0.000000,0.000000,0.000000,-0.437210,0.735291,0.000000,0.001000,-0.001000,-0.001000,FlatInitial
12:13:04.717 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.170000,1.110000,2.860000,0.000000,102.000000,1,0,-0.005022,-0.003968,0,0.000000,0.000000,0.000000,-0.437210,0.735291,0.000000,0.001000,-0.001000,-0.001000,FlatInitial
12:13:04.818 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.170000,1.110000,2.860000,0.000000,101.000000,1,0,-0.005022,-0.003968,0,0.000000,0.000000,0.000000,-0.437210,0.735291,0.000000,0.001000,-0.001000,-0.001000,FlatInitial
12:13:04.918 PM 02/13/2016,Teleop Disabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470006<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470006      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.170000,1.110000,2.860000,0.000000,102.000000,1,0,-0.005022,-0.003968,0,0.000000,0.000000,0.000000,-0.437210,0.735291,0.000000,0.001000,-0.001000,-0.001000,FlatInitial
