Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefeneState
08:38:16.807 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.690000,0.650000,1.400000,3.000000,103.000000,1,0,-0.012152,0.000248,0,0.000000,0.000000,0.000000,0.022278,0.160873,0.000000,0.000000,0.000000,0.000000,FlatInitial
08:38:16.907 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.690000,0.650000,1.400000,3.000000,103.000000,1,0,-0.012152,0.000248,0,0.000000,0.000000,0.000000,0.022278,0.160873,0.000000,-0.002000,0.001000,-0.015000,FlatInitial
08:38:17.007 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.680000,0.640000,1.400000,3.000000,102.000000,1,0,-0.012152,0.000248,0,0.000000,0.000000,0.000000,0.022278,0.160873,0.000000,0.002000,-0.001000,0.004000,FlatInitial
08:38:17.108 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.680000,0.640000,1.390000,3.000000,103.000000,1,0,-0.012152,0.000248,0,0.000000,0.000000,0.000000,0.022278,0.160873,0.000000,0.000000,-0.002000,0.000000,FlatInitial
08:38:17.208 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.670000,0.650000,1.390000,3.000000,101.000000,1,0,-0.012152,0.000248,0,0.000000,0.000000,0.000000,0.022278,0.160873,0.000000,0.002000,0.002000,0.006000,FlatInitial
08:38:17.308 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.670000,0.630000,1.400000,3.000000,102.000000,1,0,-0.012152,0.000248,0,0.000000,0.000000,0.000000,0.022278,0.160873,0.000000,0.007000,0.000000,0.001000,FlatInitial
08:38:17.408 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.670000,0.630000,1.400000,3.000000,102.000000,1,0,-0.012152,0.000248,0,0.000000,0.000000,0.000000,0.022278,0.160873,0.000000,-0.003000,-0.004000,-0.006000,FlatInitial
08:38:17.509 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.660000,0.630000,1.400000,3.000000,101.000000,1,0,-0.012152,0.000248,0,0.000000,0.000000,0.000000,0.022278,0.160873,0.000000,0.002000,0.001000,0.002000,FlatInitial
08:38:17.610 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.660000,0.610000,1.400000,3.000000,102.000000,1,0,-0.012152,0.000248,0,0.000000,0.000000,0.000000,0.022278,0.160873,0.000000,0.000000,0.001000,-0.001000,FlatInitial
08:38:17.710 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.670000,0.610000,1.410000,3.000000,102.000000,1,0,-0.012152,0.000248,0,0.000000,0.000000,0.000000,0.022278,0.160873,0.000000,-0.002000,0.001000,-0.004000,FlatInitial
