Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefeneState
08:28:26.156 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.080000,0.270000,2.370000,3.000000,101.000000,1,0,-0.012152,0.000248,0,0.000000,0.000000,0.000000,0.017914,0.115540,0.000000,0.000000,-0.001000,0.001000,FlatInitial
08:28:26.257 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.090000,0.270000,2.350000,3.000000,102.000000,1,0,-0.012152,0.000248,0,0.000000,0.010422,0.000000,0.017914,0.115677,0.000000,0.006000,0.036000,-0.013000,FlatInitial
08:28:26.357 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.080000,0.270000,2.220000,3.000000,103.000000,1,0,-0.012152,0.000248,0,0.000000,-0.003723,0.000000,0.017914,0.116119,0.000000,0.010000,-0.046000,-0.025000,FlatInitial
08:28:26.457 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.060000,0.280000,2.420000,3.000000,102.000000,1,0,-0.012152,0.000248,0,-0.086395,-0.095245,0.000000,0.016998,0.114395,0.000000,-0.642000,-0.665000,-0.320000,FlatInitial
08:28:26.558 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,0.030000,0.450000,2.040000,3.000000,101.000000,1,0,-0.012152,0.000248,0,-0.038666,-0.138321,0.000000,0.013123,0.105225,0.000000,-0.139000,0.135000,-0.334000,FlatInitial
08:28:26.658 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.020000,0.400000,2.730000,3.000000,102.000000,1,0,-0.012152,0.000248,0,0.039032,-0.097198,0.000000,0.014572,0.100082,0.000000,-0.027000,-0.054000,-0.235000,FlatInitial
08:28:26.757 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.060000,0.470000,2.610000,3.000000,101.000000,1,0,-0.012152,0.000248,0,0.059235,-0.057556,0.000000,0.016953,0.095917,0.000000,-0.065000,0.063000,0.184000,FlatInitial
08:28:26.858 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,0.000000,0.390000,2.580000,3.000000,103.000000,1,0,-0.012152,0.000248,0,0.048874,-0.062225,0.000000,0.019470,0.092728,0.000000,0.026000,0.001000,-0.026000,FlatInitial
08:28:26.959 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.010000,0.410000,2.510000,3.000000,103.000000,1,0,-0.012152,0.000248,0,0.000000,-0.090363,0.000000,0.020004,0.088669,0.000000,-0.008000,-0.013000,0.005000,FlatInitial
08:28:27.060 PM 02/11/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.020000,0.380000,2.420000,3.000000,101.000000,1,0,-0.012152,0.000248,0,-0.002869,0.000000,0.000000,0.019730,0.085754,0.000000,0.010000,0.008000,-0.014000,FlatInitial
