Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState
03:27:30.171 PM 02/14/2016,Autonomous Disabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,1993.359375,-1998.779297,2000.000000,2000.000000,Speed,Speed,0.520000,1.050000,1.760000,5.000000,101.000000,1,0,-0.001550,0.000558,0,-0.002213,0.000000,0.000000,24.883102,4.121521,0.000000,-0.032000,-0.006000,0.051000,FlatInitial
03:27:30.272 PM 02/14/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.520000,1.050000,1.760000,0.000000,5518858.000000,1,0,-0.000558,0.000558,0,-0.002213,0.000000,0.000000,24.883102,4.121521,0.000000,-0.032000,-0.006000,0.051000,FlatInitial
03:27:30.374 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.050000,1.190000,1.860000,0.000000,101.000000,1,0,-0.000558,0.000558,0,0.000000,0.016647,0.000000,24.882370,4.125061,0.000000,-0.004000,0.020000,-0.018000,FlatInitial
03:27:30.474 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.180000,2.060000,0.000000,102.000000,1,0,-0.000558,0.000558,0,0.000000,-0.002258,0.000000,24.882370,4.125946,0.000000,-0.003000,-0.036000,0.040000,FlatInitial
03:27:30.574 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.040000,1.170000,1.830000,0.000000,104.000000,1,0,-0.000558,0.000558,0,0.000000,0.000000,0.000000,24.882370,4.125595,0.000000,0.002000,0.010000,-0.006000,FlatInitial
03:27:30.674 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.040000,1.180000,2.040000,0.000000,101.000000,1,0,-0.002232,0.000558,0,0.000000,0.000000,0.000000,24.882370,4.125595,0.000000,-0.010000,0.006000,0.007000,FlatInitial
03:27:30.774 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.100000,1.170000,2.060000,0.000000,103.000000,1,0,-0.003968,0.000558,0,0.004227,0.024048,0.000000,24.882217,4.126312,0.000000,0.026000,0.000000,-0.004000,FlatInitial
03:27:30.874 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.020000,1.170000,2.030000,0.000000,103.000000,1,0,-0.003968,0.000558,0,0.000000,0.000000,0.000000,24.882385,4.126312,0.000000,-0.004000,0.009000,0.004000,FlatInitial
03:27:30.974 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,-0.020000,1.190000,1.970000,0.000000,102.000000,1,0,-0.003968,0.000558,0,0.000000,0.000000,0.000000,24.882385,4.126312,0.000000,-0.020000,-0.006000,-0.008000,FlatInitial
03:27:31.074 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.050000,1.170000,1.930000,0.000000,103.000000,1,0,-0.003968,0.000558,0,0.000000,-0.007355,0.000000,24.882248,4.126205,0.000000,0.016000,-0.012000,-0.002000,FlatInitial
03:27:31.174 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.180000,1.840000,0.000000,104.000000,1,0,-0.003968,0.000558,0,0.000000,0.013733,0.000000,24.882248,4.126358,0.000000,0.000000,0.006000,-0.014000,FlatInitial
03:27:31.275 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.180000,2.000000,0.000000,101.000000,1,0,-0.003968,0.000558,0,0.000000,-0.007858,0.000000,24.882248,4.126587,0.000000,-0.011000,-0.027000,0.007000,FlatInitial
03:27:31.374 PM 02/14/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.050000,1.160000,1.790000,0.000000,101.000000,1,0,-0.003968,0.000558,0,0.000000,0.000000,0.000000,24.882248,4.126114,0.000000,0.011000,0.020000,-0.015000,FlatInitial
