Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState
06:35:01.977 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-2697.949219,1369.921875,-6000.000000,-6000.000000,Speed,Speed,154.000000,1.130000,1.160000,1.000000,102.000000,1,0,-0.527559,0.527559,1,-0.010254,-0.028870,0.000000,0.085419,0.084076,0.000000,0.025000,-0.054000,-0.043000,FlatInitial,ResetForward
06:35:02.078 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-2301.416016,958.886719,-6000.000000,-6000.000000,Speed,Speed,154.120000,1.080000,1.350000,1.000000,100.000000,1,0,-0.527559,0.527559,1,-0.029083,-0.039337,0.000000,0.084747,0.081650,0.000000,-0.061000,0.006000,-0.065000,FlatInitial,ResetForward
06:35:02.179 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-1999.804687,456.884766,-6000.000000,-6000.000000,Speed,Speed,153.900000,1.070000,1.030000,1.000000,103.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083954,0.080444,0.000000,0.016000,-0.007000,0.006000,FlatInitial,ResetForward
06:35:02.279 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-1640.771484,181.347656,-6000.000000,-6000.000000,Speed,Speed,153.870000,1.050000,1.060000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.003906,0.004425,0.000000,0.084000,0.080490,0.000000,0.022000,0.030000,0.011000,FlatInitial,ResetForward
06:35:02.380 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-1309.863281,2.929688,-6000.000000,-6000.000000,Speed,Speed,153.920000,1.050000,1.110000,1.000000,104.000000,1,0,-0.527559,0.527559,1,-0.007278,0.000000,0.000000,0.084015,0.080750,0.000000,-0.011000,-0.007000,0.044000,FlatInitial,ResetForward
06:35:02.481 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-996.240234,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,1.030000,1.080000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080750,0.000000,0.012000,-0.007000,-0.014000,FlatInitial,ResetForward
06:35:02.581 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-721.728516,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.890000,1.010000,1.200000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,-0.003098,0.000000,0.083939,0.080536,0.000000,0.003000,-0.022000,-0.040000,FlatInitial,ResetForward
06:35:02.682 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-487.500000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.900000,1.010000,1.200000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,-0.006180,0.000000,0.083939,0.080338,0.000000,0.007000,-0.008000,-0.004000,FlatInitial,ResetForward
06:35:02.783 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-337.792969,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,1.000000,1.210000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.003000,0.006000,0.021000,FlatInitial,ResetForward
06:35:02.884 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-116.162109,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.990000,1.210000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,-0.003000,0.002000,FlatInitial,ResetForward
